claim_id,subsection_id,chapter_title,subsection_title,claim_text,cited_paper_ids,citation_ids,work_order_path,review_path,verification_status,notes
SUB002-CL003,SUB002,1: Clinical And Biological Rationale,Approved PI3K-alpha Inhibition And Clinical Benefit,"A retrospective SOLAR-1 genomic analysis reinforced PIK3CA alteration as the key predictive biomarker because alpelisib plus fulvestrant did not demonstrate efficacy in the PIK3CA-wild-type cohort, but it also showed that co-alterations and tumor complexity can modify outcomes within PIK3CA-altered disease `pmid-41967638`.",pmid-41967638,SUB002-C004,artifacts/10_claim_verification/02_work_orders/SUB002.md,artifacts/10_claim_verification/03_claim_reviews/SUB002.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB002-CL004,SUB002,1: Clinical And Biological Rationale,Approved PI3K-alpha Inhibition And Clinical Benefit,"Alpelisib toxicities, especially hyperglycemia, rash, diarrhea, and other gastrointestinal effects, required monitoring and dose management in SOLAR-1, so short treatment duration or discontinuation should not be automatically interpreted as genetic resistance `pmid-31091374`.",pmid-31091374,SUB002-C001,artifacts/10_claim_verification/02_work_orders/SUB002.md,artifacts/10_claim_verification/03_claim_reviews/SUB002.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB002-CL005,SUB002,1: Clinical And Biological Rationale,Approved PI3K-alpha Inhibition And Clinical Benefit,The first-in-human alpelisib study similarly identified hyperglycemia as a dose-limiting and frequent adverse event while showing pharmacodynamic pathway inhibition and preliminary activity in PIK3CA-altered tumors `pmid-29401002`.,pmid-29401002,SUB002-C005,artifacts/10_claim_verification/02_work_orders/SUB002.md,artifacts/10_claim_verification/03_claim_reviews/SUB002.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB002-CL006,SUB002,1: Clinical And Biological Rationale,Approved PI3K-alpha Inhibition And Clinical Benefit,"Later combination studies outside the approved fulvestrant setting underline this constraint: alpelisib plus paclitaxel and alpelisib plus cisplatin both encountered clinically important hyperglycemia or dose-limiting toxicity, supporting the draft's point that pharmacologic tolerability can shape apparent benefit `pmid-30167089` `pmid-36923283`.",pmid-30167089; pmid-36923283,SUB002-C006; SUB002-C007,artifacts/10_claim_verification/02_work_orders/SUB002.md,artifacts/10_claim_verification/03_claim_reviews/SUB002.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB002-CL007,SUB002,1: Clinical And Biological Rationale,Approved PI3K-alpha Inhibition And Clinical Benefit,"Work on SGLT2 inhibition further suggests that management of PI3K-alpha inhibitor induced hyperglycemia may affect dose modification and treatment continuity, although this is supportive care evidence rather than tumor-resistance evidence `pmid-39177931`.",pmid-39177931,SUB002-C008,artifacts/10_claim_verification/02_work_orders/SUB002.md,artifacts/10_claim_verification/03_claim_reviews/SUB002.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB002-CL008,SUB002,1: Clinical And Biological Rationale,Approved PI3K-alpha Inhibition And Clinical Benefit,"BYLieve cohort A studied alpelisib plus fulvestrant after progression on a CDK4 and CDK6 inhibitor plus aromatase inhibitor, addressing a population that became common after SOLAR-1 enrollment `pmid-39637900`.",pmid-39637900,SUB002-C009,artifacts/10_claim_verification/02_work_orders/SUB002.md,artifacts/10_claim_verification/03_claim_reviews/SUB002.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB002-CL009,SUB002,1: Clinical And Biological Rationale,Approved PI3K-alpha Inhibition And Clinical Benefit,"A real-world comparative analysis of alpelisib plus fulvestrant in HR-positive, HER2-negative, PIK3CA-mutated advanced breast cancer helps benchmark effectiveness outside the trial environment `pmid-33909934`.",pmid-33909934,SUB002-C010,artifacts/10_claim_verification/02_work_orders/SUB002.md,artifacts/10_claim_verification/03_claim_reviews/SUB002.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB002-CL010,SUB002,1: Clinical And Biological Rationale,Approved PI3K-alpha Inhibition And Clinical Benefit,"Mechanistic resistance evidence comes from different designs: in a phase I and II alpelisib plus aromatase inhibitor study, PTEN loss-of-function mutations were identified in resistant cases and ESR1 activating mutations expanded during treatment, while a separate acquired-resistance cohort found emergent PI3K pathway alterations, including PTEN loss, AKT1 activation, and secondary PIK3CA mutations, after PI3K-alpha inhibitor exposure `pmid-32864625` `pmid-37916958`.",pmid-32864625; pmid-37916958,SUB002-C011; SUB002-C012,artifacts/10_claim_verification/02_work_orders/SUB002.md,artifacts/10_claim_verification/03_claim_reviews/SUB002.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB003-CL001,SUB003,1: Clinical And Biological Rationale,Investigational Agents And Therapeutic-Index Hypothesis,"The older alpelisib and alpelisib rationale was already based on alpha-selective pathway targeting and patient stratification, but alpha selectivity alone still inhibits wild-type PI3K-alpha in metabolic tissues and can be limited by hyperglycemia, rash, gastrointestinal toxicity, and incomplete pathway suppression `pmid-24608574`.",pmid-24608574,SUB003-C001,artifacts/10_claim_verification/02_work_orders/SUB003.md,artifacts/10_claim_verification/03_claim_reviews/SUB003.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB003-CL002,SUB003,1: Clinical And Biological Rationale,Investigational Agents And Therapeutic-Index Hypothesis,"However, these are preclinical data, so they support a rationale for improved tolerability and efficacy rather than established clinical superiority `pmid-37623743`.",pmid-37623743,SUB003-C002,artifacts/10_claim_verification/02_work_orders/SUB003.md,artifacts/10_claim_verification/03_claim_reviews/SUB003.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB003-CL003,SUB003,1: Clinical And Biological Rationale,Investigational Agents And Therapeutic-Index Hypothesis,"This is direct evidence for overcoming some acquired on-target PIK3CA resistance alterations, but it does not show that all PI3K-alpha inhibitor resistance, such as PTEN loss or AKT activation, can be overcome by RLY-2608 alone `pmid-37916958`.",pmid-37916958,SUB003-C003,artifacts/10_claim_verification/02_work_orders/SUB003.md,artifacts/10_claim_verification/03_claim_reviews/SUB003.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB003-CL004,SUB003,1: Clinical And Biological Rationale,Investigational Agents And Therapeutic-Index Hypothesis,"Median PFS was 15.0 months with the inavolisib triplet versus 7.3 months with placebo plus palbociclib and fulvestrant, and ORR was 58 percent versus 25 percent `pmid-40845250`.",pmid-40845250,SUB003-C004,artifacts/10_claim_verification/02_work_orders/SUB003.md,artifacts/10_claim_verification/03_claim_reviews/SUB003.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB003-CL005,SUB003,1: Clinical And Biological Rationale,Investigational Agents And Therapeutic-Index Hypothesis,"Final OS reporting showed median OS of 34.0 versus 27.0 months and ORR of 62.7 percent versus 28.0 percent, but hyperglycemia, stomatitis or mucosal inflammation, gastrointestinal toxicity, and ocular events remained more frequent with inavolisib `pmid-40454641`.",pmid-40454641,SUB003-C005,artifacts/10_claim_verification/02_work_orders/SUB003.md,artifacts/10_claim_verification/03_claim_reviews/SUB003.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB003-CL006,SUB003,1: Clinical And Biological Rationale,Investigational Agents And Therapeutic-Index Hypothesis,"In gastric cancer models, alpelisib could inhibit AKT and S6 in PIK3CA-mutant lines, yet CRISPR screening identified CBFB loss and PIM1 upregulation as resistance biology `pmid-37493631`.",pmid-37493631,SUB003-C006,artifacts/10_claim_verification/02_work_orders/SUB003.md,artifacts/10_claim_verification/03_claim_reviews/SUB003.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB003-CL007,SUB003,1: Clinical And Biological Rationale,Investigational Agents And Therapeutic-Index Hypothesis,"Older HER2-overexpressing breast cancer models showed PI3K inhibition can trigger compensatory HER signaling and ERK dependence `pmid-21278786`, and alpelisib-resistant breast cancer models used IGF1R, p110beta, AKT, and mTOR signaling to maintain growth under alpha-specific inhibition `pmid-27048245`.",pmid-21278786; pmid-27048245,SUB003-C007; SUB003-C008,artifacts/10_claim_verification/02_work_orders/SUB003.md,artifacts/10_claim_verification/03_claim_reviews/SUB003.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB003-CL008,SUB003,1: Clinical And Biological Rationale,Investigational Agents And Therapeutic-Index Hypothesis,"A 2025 breast and endometrial cancer model study further found that single-node inhibitors, including inavolisib, RLY-2608, and STX-478, produced variable S6 and AKT suppression and little 4E-BP1 inhibition at clinically relevant concentrations compared with multi-node mTORC1, mTORC2, and PI3K-alpha inhibition `pmid-40360883`.",pmid-40360883,SUB003-C009,artifacts/10_claim_verification/02_work_orders/SUB003.md,artifacts/10_claim_verification/03_claim_reviews/SUB003.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB004-CL001,SUB004,2: On-Target And Pathway Reactivation Resistance,PTEN Loss As Acquired Resistance,"Resistance was not reproduced against pan-PI3K blockade and could be reversed by combined p110-alpha and p110-beta inhibition in cells and a PTEN-null patient-derived xenograft, supporting a shift toward p110-beta-dependent signaling after PTEN loss `pmid-25409150`.",pmid-25409150,SUB004-C001,artifacts/10_claim_verification/02_work_orders/SUB004.md,artifacts/10_claim_verification/03_claim_reviews/SUB004.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB004-CL002,SUB004,2: On-Target And Pathway Reactivation Resistance,PTEN Loss As Acquired Resistance,This places PTEN loss beside secondary PIK3CA and activating AKT1 mutations rather than above them as the dominant universal mechanism `pmid-37916958`.,pmid-37916958,SUB004-C002,artifacts/10_claim_verification/02_work_orders/SUB004.md,artifacts/10_claim_verification/03_claim_reviews/SUB004.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB004-CL003,SUB004,2: On-Target And Pathway Reactivation Resistance,PTEN Loss As Acquired Resistance,"In a separate alpelisib plus aromatase-inhibitor trial, PTEN alterations were detected in 8 of 32 evaluable ctDNA cases, including three pretreatment loss-of-function alterations associated with rapid progression and five post-treatment PTEN alterations absent from baseline tissue or ctDNA, emphasizing the need to separate intrinsic PTEN-deficient disease from acquired selection during therapy `pmid-32864625`.",pmid-32864625,SUB004-C003,artifacts/10_claim_verification/02_work_orders/SUB004.md,artifacts/10_claim_verification/03_claim_reviews/SUB004.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB004-CL004,SUB004,2: On-Target And Pathway Reactivation Resistance,PTEN Loss As Acquired Resistance,"Resistant cells had increased AKT and PRAS40 phosphorylation and were partly vulnerable to pan-PI3K or AKT-directed strategies, although this remains cell-line evidence without in vivo validation `pmid-40295072`.",pmid-40295072,SUB004-C004,artifacts/10_claim_verification/02_work_orders/SUB004.md,artifacts/10_claim_verification/03_claim_reviews/SUB004.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB004-CL005,SUB004,2: On-Target And Pathway Reactivation Resistance,PTEN Loss As Acquired Resistance,"In HNSCC models, acquired alpelisib resistance involved miR-17-92 family upregulation, reduced PTEN protein and activity, higher phospho-AKT, and resensitization after pooled microRNA inhibition, suggesting a non-genetic PTEN-suppression route `pmid-40382983`.",pmid-40382983,SUB004-C005,artifacts/10_claim_verification/02_work_orders/SUB004.md,artifacts/10_claim_verification/03_claim_reviews/SUB004.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB004-CL006,SUB004,2: On-Target And Pathway Reactivation Resistance,PTEN Loss As Acquired Resistance,"Conversely, PTEN biology should not be reduced to a simple absence-presence biomarker: PI3K inhibitor treatment can also induce post-translational PTEN inactivation through a USP10-GSK3-beta axis, preserving PIP3 and AKT/S6 signaling despite high PTEN abundance `pmid-40991650`.",pmid-40991650,SUB004-C006,artifacts/10_claim_verification/02_work_orders/SUB004.md,artifacts/10_claim_verification/03_claim_reviews/SUB004.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB004-CL007,SUB004,2: On-Target And Pathway Reactivation Resistance,PTEN Loss As Acquired Resistance,"A colorectal pictilisib resistance model further warns that PTEN loss may require cooperating programs, because PTEN loss alone was not sufficient without amphiregulin-driven EGFR-MAPK signaling `pmid-25053989`.",pmid-25053989,SUB004-C007,artifacts/10_claim_verification/02_work_orders/SUB004.md,artifacts/10_claim_verification/03_claim_reviews/SUB004.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB005-CL001,SUB005,2: On-Target And Pathway Reactivation Resistance,Secondary PIK3CA Mutations,"Serial ddPCR in two patients showed Q859K, and in one case W780R, emerging with rebound of the founder H1047R mutation and preceding or accompanying radiographic progression `pmid-37916958`.",pmid-37916958,SUB005-C001,artifacts/10_claim_verification/02_work_orders/SUB005.md,artifacts/10_claim_verification/03_claim_reviews/SUB005.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB005-CL002,SUB005,2: On-Target And Pathway Reactivation Resistance,Secondary PIK3CA Mutations,Downstream signaling assays similarly showed reduced potency of alpelisib and inavolisib against the double mutants `pmid-37916958`.,pmid-37916958,SUB005-C001,artifacts/10_claim_verification/02_work_orders/SUB005.md,artifacts/10_claim_verification/03_claim_reviews/SUB005.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB005-CL003,SUB005,2: On-Target And Pathway Reactivation Resistance,Secondary PIK3CA Mutations,"However, the same paper found co-emergent AKT1 mutations in some resistant patients and showed that engineered AKT1 E17K or Q79K increased resistance to alpelisib and inavolisib while retaining sensitivity to ipatasertib, so allosteric PI3K-alpha inhibition should not be framed as a universal solution for every convergent PI3K-pathway resistance state `pmid-37916958`.",pmid-37916958,SUB005-C001,artifacts/10_claim_verification/02_work_orders/SUB005.md,artifacts/10_claim_verification/03_claim_reviews/SUB005.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB005-CL004,SUB005,2: On-Target And Pathway Reactivation Resistance,Secondary PIK3CA Mutations,C-terminal PIK3CA frameshift mutations increased PI3K effector signaling and transformation but remained sensitive to p110-alpha inhibition by alpelisib in cells and xenografts `pmid-32929011`.,pmid-32929011,SUB005-C002,artifacts/10_claim_verification/02_work_orders/SUB005.md,artifacts/10_claim_verification/03_claim_reviews/SUB005.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB005-CL005,SUB005,2: On-Target And Pathway Reactivation Resistance,Secondary PIK3CA Mutations,"Second, baseline multiple PIK3CA mutations may mark deeper PI3K dependence rather than acquired resistance: in SANDPIPER ctDNA, clonal multiple PIK3CA mutations correlated with higher response and longer progression-free survival on taselisib plus fulvestrant than subclonal multiple PIK3CA mutations, consistent with prior in-cis double-mutant sensitivity models `pmid-37101291`.",pmid-37101291,SUB005-C003,artifacts/10_claim_verification/02_work_orders/SUB005.md,artifacts/10_claim_verification/03_claim_reviews/SUB005.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB006-CL001,SUB006,2: On-Target And Pathway Reactivation Resistance,AKT/mTOR Axis Compensation,"This does not prove that AKT inhibition is clinically sufficient after progression, but it directly supports downstream AKT activation as one route by which tumors can evade upstream PI3K-alpha inhibition `pmid-37916958`.",pmid-37916958,SUB006-C001,artifacts/10_claim_verification/02_work_orders/SUB006.md,artifacts/10_claim_verification/03_claim_reviews/SUB006.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB006-CL002,SUB006,2: On-Target And Pathway Reactivation Resistance,AKT/mTOR Axis Compensation,This is a strong model-system example of an upstream receptor and alternate PI3K isoform feeding the same AKT/mTOR axis under alpha-selective pressure `pmid-27048245`.,pmid-27048245,SUB006-C002,artifacts/10_claim_verification/02_work_orders/SUB006.md,artifacts/10_claim_verification/03_claim_reviews/SUB006.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB006-CL003,SUB006,2: On-Target And Pathway Reactivation Resistance,AKT/mTOR Axis Compensation,"Everolimus blocked mTORC1 signaling and resensitized knockout cells to PI3K-alpha inhibition, and candidate alterations appeared cumulatively in about 15% of PIK3CA-mutant breast tumors in one metastatic dataset, supporting clinical plausibility while not proving acquired selection in those patients `pmid-33685991`.",pmid-33685991,SUB006-C003,artifacts/10_claim_verification/02_work_orders/SUB006.md,artifacts/10_claim_verification/03_claim_reviews/SUB006.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB006-CL004,SUB006,2: On-Target And Pathway Reactivation Resistance,AKT/mTOR Axis Compensation,"PI3K-pathway inhibition can initially reduce pAKT, S6K, S6, and 4E-BP1 phosphorylation, then rebound with HER3 and other receptor-tyrosine-kinase induction; PTEN translational control contributes another feedback layer that can blunt inhibitor efficacy `pmid-33606974`.",pmid-33606974,SUB006-C004,artifacts/10_claim_verification/02_work_orders/SUB006.md,artifacts/10_claim_verification/03_claim_reviews/SUB006.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB006-CL005,SUB006,2: On-Target And Pathway Reactivation Resistance,AKT/mTOR Axis Compensation,"In alpelisib-resistant luminal breast cancer cells, a CD44-high state with HA-CD44 interaction activated Src-ERK signaling and maintained AKT and mTOR activity; disrupting the CD44-HA axis restored sensitivity in models `pmid-33024087`.",pmid-33024087,SUB006-C005,artifacts/10_claim_verification/02_work_orders/SUB006.md,artifacts/10_claim_verification/03_claim_reviews/SUB006.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB006-CL006,SUB006,2: On-Target And Pathway Reactivation Resistance,AKT/mTOR Axis Compensation,"NF1-loss breast cancer models add a metabolically flavored branch: NF1 knockout reduced alpelisib sensitivity, and NAC plus alpelisib reduced mTOR-associated phosphorylation, including RPS6 and MTOR sites, and sensitized NF1-loss cells and organoids, although the authors note that the causal link between mTOR suppression, glycolysis, and drug synergy remains unresolved `pmid-37044095`.",pmid-37044095,SUB006-C006,artifacts/10_claim_verification/02_work_orders/SUB006.md,artifacts/10_claim_verification/03_claim_reviews/SUB006.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB007-CL001,SUB007,3: Bypass Signaling And Crosstalk,MAPK/ERK Bypass,"In the same study, lapatinib, trastuzumab, or MEK inhibition prevented ERK activation, while adding HER2 or MEK blockade increased growth inhibition and apoptosis; in BT474-Tr xenografts, trastuzumab plus BEZ235 and AZD6244 plus BEZ235 improved tumor control compared with PI3K-pathway inhibition alone, although BEZ235 plus lapatinib caused unacceptable toxicity in the mouse schedule tested `pmid-21278786`.",pmid-21278786,S07-R001,artifacts/10_claim_verification/02_work_orders/SUB007.md,artifacts/10_claim_verification/03_claim_reviews/SUB007.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB007-CL002,SUB007,3: Bypass Signaling And Crosstalk,MAPK/ERK Bypass,"Recurrent tumor transplants with Her2/Her3 and MAPK activation were not controlled by pictilisib alone, whereas combined lapatinib plus MEK162 nearly abolished phospho-ERK and produced sustained regression with increased antiproliferative and proapoptotic markers `pmid-26640141`.",pmid-26640141,S07-R002,artifacts/10_claim_verification/02_work_orders/SUB007.md,artifacts/10_claim_verification/03_claim_reviews/SUB007.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB007-CL003,SUB007,3: Bypass Signaling And Crosstalk,MAPK/ERK Bypass,"PTEN loss alone did not induce resistance, but it enhanced EGFR-ligand-mediated resistance; PI3K plus MEK, ERK, or EGFR inhibition improved control in resistant cells and xenografts `pmid-25053989`.",pmid-25053989,S07-R003,artifacts/10_claim_verification/02_work_orders/SUB007.md,artifacts/10_claim_verification/03_claim_reviews/SUB007.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB007-CL004,SUB007,3: Bypass Signaling And Crosstalk,MAPK/ERK Bypass,"In KRAS-active NSCLC and HNSCC models, PI-103 produced short-term Akt suppression but 24-hour exposure allowed ERK2-dependent Akt reactivation, and MEK inhibition or ERK2 knockdown restored deeper pathway suppression and improved clonogenic inhibition `pmid-24351425`.",pmid-24351425,S07-R004,artifacts/10_claim_verification/02_work_orders/SUB007.md,artifacts/10_claim_verification/03_claim_reviews/SUB007.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB007-CL005,SUB007,3: Bypass Signaling And Crosstalk,MAPK/ERK Bypass,"Breast cancer RTK-profiling work adds a cautionary pharmacodynamic layer: alpelisib inhibited both AKT and ERK in some PIK3CA-mutant breast cancer cells, but EGFR, HER3, c-MET, FGFR, or RAS activation could uncouple ERK from PI3K-alpha inhibition and reduce drug sensitivity `pmid-28382169`.",pmid-28382169,S07-R005,artifacts/10_claim_verification/02_work_orders/SUB007.md,artifacts/10_claim_verification/03_claim_reviews/SUB007.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB007-CL006,SUB007,3: Bypass Signaling And Crosstalk,MAPK/ERK Bypass,"RTK-dependent SHP2 signaling similarly reactivated ERK and PI3K outputs after alpelisib in luminal and triple-negative breast cancer models, with SHP2 blockade restoring growth control in cells, organoids, and xenografts `pmid-35365185`.",pmid-35365185,S07-R006,artifacts/10_claim_verification/02_work_orders/SUB007.md,artifacts/10_claim_verification/03_claim_reviews/SUB007.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB007-CL007,SUB007,3: Bypass Signaling And Crosstalk,MAPK/ERK Bypass,"Finally, CD44-HA signaling provides a noncanonical breast cancer example in which acquired alpelisib resistance used Src-ERK-Ezrin signaling to maintain AKT-mTOR activity `pmid-33024087`.",pmid-33024087,S07-R007,artifacts/10_claim_verification/02_work_orders/SUB007.md,artifacts/10_claim_verification/03_claim_reviews/SUB007.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB008-CL001,SUB008,3: Bypass Signaling And Crosstalk,HER2/ERBB And Receptor Tyrosine Kinase Crosstalk,"The same perturbation produced ERK activation; lapatinib, trastuzumab, or MEK inhibitors suppressed this ERK rebound and improved proliferation, apoptosis, and xenograft growth endpoints compared with PI3K-pathway inhibition alone `pmid-21278786`.",pmid-21278786,S08-R001,artifacts/10_claim_verification/02_work_orders/SUB008.md,artifacts/10_claim_verification/03_claim_reviews/SUB008.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB008-CL002,SUB008,3: Bypass Signaling And Crosstalk,HER2/ERBB And Receptor Tyrosine Kinase Crosstalk,"A genetic in vivo model reinforced that this feedback can matter after an initial response: Her2 plus PIK3CA H1047R mammary tumors regressed after mutant PIK3CA deinduction, but recurrent tumors restored Her2/Her3 and MAPK signaling, and lapatinib plus MEK162 produced sustained regression in recurrent transplants `pmid-26640141`.",pmid-26640141,S08-R002,artifacts/10_claim_verification/02_work_orders/SUB008.md,artifacts/10_claim_verification/03_claim_reviews/SUB008.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB008-CL003,SUB008,3: Bypass Signaling And Crosstalk,HER2/ERBB And Receptor Tyrosine Kinase Crosstalk,"In HER2-positive PTEN-deficient breast tumor models, p110-alpha was described as a major effector downstream of RTKs, and combined Her2, p110-alpha, and p110-beta inhibition most strongly reduced AKT activation and minimized tumor growth `pmid-26500061`.",pmid-26500061,S08-R003,artifacts/10_claim_verification/02_work_orders/SUB008.md,artifacts/10_claim_verification/03_claim_reviews/SUB008.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
