paper_id,pmid,pmcid,doi,title,ingestion_status,source_format,access_source,source_url,source_path,normalized_path,text_char_count,section_count,pmc_xml_status,pdf_status,parser_status,user_pdf_required,notes
pmid-27604488,27604488,PMC5050154,10.1158/2159-8290.CD-16-0305,Systematic Functional Characterization of Resistance to PI3K Inhibition in Breast Cancer.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=5050154&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/5050154.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-27604488.json,43486,9,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-28129991,28129991,PMC5319926,10.1016/j.bmc.2017.01.012,Identification of allosteric binding sites for PI3Kα oncogenic mutant specific inhibitor design.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=5319926&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/5319926.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-28129991.json,21338,8,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-28382169,28382169,PMC5381259,10.7150/thno.17830,Integration of Receptor Tyrosine Kinases Determines Sensitivity to PI3Kα-selective Inhibitors in Breast Cancer.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=5381259&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/5381259.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-28382169.json,27113,10,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-29231907,29231907,PMC5742817,10.3390/cancers9120169,Activated HGF-c-Met Axis in Head and Neck Cancer.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=5742817&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/5742817.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-29231907.json,37203,22,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-29401002,29401002,PMC5920739,10.1200/JCO.2017.72.7107,Phosphatidylinositol 3-Kinase α-Selective Inhibition With Alpelisib (BYL719) in PIK3CA-Altered Solid Tumors: Results From the First-in-Human Study.,normalized,pdf,europe_pmc,https://europepmc.org/articles/PMC5920739?pdf=render,artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_29401002.pdf,artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-29401002.json,24680,11,unusable,normalized,normalized,0,PMC XML body element is missing. Open-access PDF staged. No usable PMC XML or automatically accessible PDF normalized. Normalized from pdf.
pmid-29850984,29850984,,10.1007/s10549-018-4792-0,Phase I study of alpelisib (BYL-719) and trastuzumab emtansine (T-DM1) in HER2-positive metastatic breast cancer (MBC) after trastuzumab and taxane therapy.,user_pdf_required,none,,,,,0,0,missing,not_attempted,not_attempted,1,No usable PMC XML or automatically accessible PDF normalized.
pmid-29895527,29895527,PMC7439002,10.1530/ERC-18-0159,The role of GSK3 and its reversal with GSK3 antagonism in everolimus resistance.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=7439002&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/7439002.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-29895527.json,33013,19,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-30115483,30115483,,10.1016/j.oraloncology.2018.07.010,ERK-TSC2 signalling in constitutively-active HRAS mutant HNSCC cells promotes resistance to PI3K inhibition.,user_pdf_required,none,,,,,0,0,missing,not_attempted,not_attempted,1,No usable PMC XML or automatically accessible PDF normalized.
pmid-30167089,30167089,PMC6114962,10.18632/oncotarget.25854,"A Phase Ib, open-label, dose-finding study of alpelisib in combination with paclitaxel in patients with advanced solid tumors.",normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=6114962&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/6114962.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-30167089.json,13775,8,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-30245395,30245395,,10.1016/j.ejmech.2018.09.002,"Synthesis, biological evaluation and structure-activity relationship of a novel class of PI3Kα H1047R mutant inhibitors.",user_pdf_required,none,,,,,0,0,missing,not_attempted,not_attempted,1,No usable PMC XML or automatically accessible PDF normalized.
pmid-30413407,30413407,,10.1158/2159-8290.CD-NB2018-146,Alpelisib Extends PFS in PIK3CA-Mutant Breast Cancer.,user_pdf_required,none,,,,,0,0,missing,not_attempted,not_attempted,1,No usable PMC XML or automatically accessible PDF normalized.
pmid-30543347,30543347,PMC6439561,10.1001/jamaoncol.2018.4475,Alpelisib Plus Fulvestrant in PIK3CA-Altered and PIK3CA-Wild-Type Estrogen Receptor-Positive Advanced Breast Cancer: A Phase 1b Clinical Trial.,user_pdf_required,none,,,,,0,0,unusable,download_failed,not_attempted,1,PMC XML body element is missing. Download failed from https://jamanetwork.com/journals/jamaoncology/articlepdf/2718005/jamaoncology_juric_2018_oi_180085.pdf: HTTP Error 403: Forbidden No usable PMC XML or automatically accessible PDF normalized.
pmid-30588709,30588709,PMC6398875,10.1111/cas.13923,"Phase I study of alpelisib (BYL719), an α-specific PI3K inhibitor, in Japanese patients with advanced solid tumors.",normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=6398875&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/6398875.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-30588709.json,21479,11,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-30860495,30860495,PMC6538319,10.1172/jci.insight.125341,Repression of AXL expression by AP-1/JNK blockage overcomes resistance to PI3Ka therapy.,user_pdf_required,none,,,,,0,0,unusable,download_failed,not_attempted,1,PMC XML body element is missing. Download failed from https://europepmc.org/articles/PMC6538319?pdf=render: HTTP Error 429: Too Many Requests URL did not return a valid PDF payload: https://doi.org/10.1172/jci.insight.125341 No usable PMC XML or automatically accessible PDF normalized.
pmid-31091374,31091374,,10.1056/NEJMoa1813904,"Alpelisib for PIK3CA-Mutated, Hormone Receptor-Positive Advanced Breast Cancer.",user_pdf_required,none,,,,,0,0,missing,download_failed,not_attempted,1,Download failed from https://www.nejm.org/doi/pdf/10.1056/NEJMoa1813904?articleTools=true: HTTP Error 403: Forbidden No usable PMC XML or automatically accessible PDF normalized.
pmid-31494037,31494037,,10.1016/S1470-2045(19)30420-6,"Endocrine treatment versus chemotherapy in postmenopausal women with hormone receptor-positive, HER2-negative, metastatic breast cancer: a systematic review and network meta-analysis.",user_pdf_required,none,,,,,0,0,missing,download_failed,not_attempted,1,URL did not return a valid PDF payload: http://hdl.handle.net/2318/1715124 No usable PMC XML or automatically accessible PDF normalized.
pmid-31852484,31852484,PMC6921513,10.1186/s13058-019-1230-0,Elacestrant (RAD1901) exhibits anti-tumor activity in multiple ER+ breast cancer models resistant to CDK4/6 inhibitors.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=6921513&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/6921513.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-31852484.json,36184,8,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-31859350,31859350,PMC6923785,10.1093/annonc/mdz280,Biomarkers of response and resistance to PI3K inhibitors in estrogen receptor-positive breast cancer patients and combination therapies involving PI3K inhibitors.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=6923785&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/6923785.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-31859350.json,24642,21,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-32252811,32252811,PMC7137211,10.1186/s13058-020-01271-0,Everolimus versus alpelisib in advanced hormone receptor-positive HER2-negative breast cancer: targeting different nodes of the PI3K/AKT/mTORC1 pathway with different clinical implications.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=7137211&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/7137211.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-32252811.json,38454,7,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-32404150,32404150,PMC7222307,10.1186/s13058-020-01284-9,Frequency and spectrum of PIK3CA somatic mutations in breast cancer.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=7222307&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/7222307.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-32404150.json,13799,5,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-32415339,32415339,,10.1007/s11912-020-00917-8,Sequencing Endocrine Therapy for Metastatic Breast Cancer: What Do We Do After Disease Progression on a CDK4/6 Inhibitor?,user_pdf_required,none,,,,,0,0,missing,not_attempted,not_attempted,1,No usable PMC XML or automatically accessible PDF normalized.
pmid-32416251,32416251,,10.1016/j.annonc.2020.05.001,Time course and management of key adverse events during the randomized phase III SOLAR-1 study of PI3K inhibitor alpelisib plus fulvestrant in patients with HR-positive advanced breast cancer.,user_pdf_required,none,,,,,0,0,missing,download_failed,not_attempted,1,Download failed from http://www.annalsofoncology.org/article/S0923753420397982/pdf: HTTP Error 403: Forbidden No usable PMC XML or automatically accessible PDF normalized.
pmid-32591580,32591580,PMC7319999,10.1038/s41598-020-67393-9,Real world data analysis of next generation sequencing and protein expression in metastatic breast cancer patients.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=7319999&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/7319999.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-32591580.json,13860,6,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-32782489,32782489,PMC7388095,10.1177/1758835920940939,Targeting the PI3K/Akt/mTOR pathway in estrogen-receptor positive HER2 negative advanced breast cancer.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=7388095&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/7388095.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-32782489.json,20115,9,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-32817061,32817061,PMC7437706,10.1136/esmoopen-2020-000890,PIK3CA mutation inhibition in hormone receptor-positive breast cancer: time has come.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=7437706&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/7437706.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-32817061.json,8715,1,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-32864625,32864625,PMC7450824,10.1038/s43018-020-0047-1,Alterations in PTEN and ESR1 promote clinical resistance to alpelisib plus aromatase inhibitors.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=7450824&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/7450824.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-32864625.json,23226,6,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-32869930,32869930,PMC7648336,10.1634/theoncologist.2020-0449,Biomarkers in Breast Cancer: An Integrated Analysis of Comprehensive Genomic Profiling and PD-L1 Immunohistochemistry Biomarkers in 312 Patients with Breast Cancer.,normalized,pdf,europe_pmc,https://europepmc.org/articles/PMC7648336?pdf=render,artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_32869930.pdf,artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-32869930.json,14765,8,unusable,normalized,normalized,0,PMC XML body element is missing. Download failed from https://theoncologist.onlinelibrary.wiley.com/doi/pdfdirect/10.1634/theoncologist.2020-0449: HTTP Error 403: Forbidden Open-access PDF staged. No usable PMC XML or automatically accessible PDF normalized. Normalized from pdf.
pmid-32887722,32887722,,10.1158/1078-0432.CCR-20-0645,Phase Ib Study of Ribociclib plus Fulvestrant and Ribociclib plus Fulvestrant plus PI3K Inhibitor (Alpelisib or Buparlisib) for HR+ Advanced Breast Cancer.,user_pdf_required,none,,,,,0,0,missing,not_attempted,not_attempted,1,No usable PMC XML or automatically accessible PDF normalized.
pmid-32964734,32964734,,10.2217/fon-2020-0464,Alpelisib in the treatment of metastatic HR+ breast cancer with PIK3CA mutations.,user_pdf_required,none,,,,,0,0,missing,not_attempted,not_attempted,1,No usable PMC XML or automatically accessible PDF normalized.
pmid-33024087,33024087,PMC7538592,10.1038/s41419-020-03037-0,CD44/HA signaling mediates acquired resistance to a PI3Kα inhibitor.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=7538592&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/7538592.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-33024087.json,34681,12,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-33036331,33036331,PMC7601167,10.3390/jcm9103214,CDK 4/6 Inhibition Overcomes Acquired and Inherent Resistance to PI3Kα Inhibition in Pre-Clinical Models of Head and Neck Squamous Cell Carcinoma.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=7601167&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/7601167.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-33036331.json,16001,10,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-33059733,33059733,PMC7559997,10.1186/s13046-020-01713-9,TAM family receptors in conjunction with MAPK signalling are involved in acquired resistance to PI3Kα inhibition in head and neck squamous cell carcinoma.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=7559997&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/7559997.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-33059733.json,35001,15,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-33168657,33168657,PMC8535764,10.1158/1078-0432.CCR-20-3652,"FDA Approval Summary: Alpelisib Plus Fulvestrant for Patients with HR-positive, HER2-negative, PIK3CA-mutated, Advanced or Metastatic Breast Cancer.",normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=8535764&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/8535764.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-33168657.json,24721,12,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-33190190,33190190,PMC7854469,10.1007/s12325-020-01552-2,"Clinical Challenges in the Management of Hormone Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative Metastatic Breast Cancer: A Literature Review.",normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=7854469&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/7854469.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-33190190.json,57488,22,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-33213227,33213227,,10.1080/17425255.2021.1844662,"A pharmacokinetic evaluation of alpelisib for the treatment of HR+, HER2-negative, PIK3CA-mutated advanced or metastatic breast cancer.",user_pdf_required,none,,,,,0,0,missing,not_attempted,not_attempted,1,No usable PMC XML or automatically accessible PDF normalized.
pmid-33246021,33246021,,10.1016/j.annonc.2020.11.011,"Alpelisib plus fulvestrant for PIK3CA-mutated, hormone receptor-positive, human epidermal growth factor receptor-2-negative advanced breast cancer: final overall survival results from SOLAR-1.",user_pdf_required,none,,,,,0,0,missing,download_failed,not_attempted,1,Download failed from http://www.annalsofoncology.org/article/S0923753420431667/pdf: HTTP Error 403: Forbidden No usable PMC XML or automatically accessible PDF normalized.
pmid-33386585,33386585,PMC8065000,10.1007/s12282-020-01199-5,PIK3CA somatic alterations in invasive breast cancers: different spectrum from Caucasians to Chinese detected by next generation sequencing.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=8065000&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/8065000.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-33386585.json,10927,5,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-33520003,33520003,PMC7829038,10.1007/s12254-021-00674-9,ASCO 2020: highlights in breast cancer.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=7829038&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/7829038.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-33520003.json,13742,9,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-33575071,33575071,PMC7646628,10.6004/jadpro.2020.11.7.9,Alpelisib: A Novel Therapy for Patients With PIK3CA-Mutated Metastatic Breast Cancer.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=7646628&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/7646628.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-33575071.json,25404,9,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-33602685,33602685,PMC8282704,10.1158/1078-0432.CCR-20-4879,Clinical and Biomarker Results from Phase I/II Study of PI3K Inhibitor Alpelisib plus Nab-paclitaxel in HER2-Negative Metastatic Breast Cancer.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=8282704&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/8282704.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-33602685.json,19304,8,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-33622114,33622114,,10.1080/14656566.2021.1873952,"Alpelisib for the treatment of PIK3CA-mutated, hormone receptor-positive, HER2-negative metastatic breast cancer.",user_pdf_required,none,,,,,0,0,missing,not_attempted,not_attempted,1,No usable PMC XML or automatically accessible PDF normalized.
pmid-33668685,33668685,PMC7918312,10.3390/ijms22041882,"PRKAR1B-AS2 Long Noncoding RNA Promotes Tumorigenesis, Survival, and Chemoresistance via the PI3K/AKT/mTOR Pathway.",normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=7918312&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/7918312.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-33668685.json,28829,8,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-33780274,33780274,PMC8210974,10.1200/JCO.20.01139,"Patient-Reported Outcomes in Patients With PIK3CA-Mutated Hormone Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative Advanced Breast Cancer From SOLAR-1.",normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=8210974&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/8210974.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-33780274.json,15236,6,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-33794206,33794206,,10.1016/S1470-2045(21)00034-6,"Alpelisib plus fulvestrant in PIK3CA-mutated, hormone receptor-positive advanced breast cancer after a CDK4/6 inhibitor (BYLieve): one cohort of a phase 2, multicentre, open-label, non-comparative study.",user_pdf_required,none,,,,,0,0,missing,not_attempted,not_attempted,1,No usable PMC XML or automatically accessible PDF normalized.
pmid-33909934,33909934,PMC8265362,10.1002/onco.13804,"Effectiveness of Alpelisib + Fulvestrant Compared with Real-World Standard Treatment Among Patients with HR+, HER2-, PIK3CA-Mutated Breast Cancer.",normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=8265362&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/8265362.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-33909934.json,24127,13,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
