subsection_id,paper_id,PMID,PMCID,DOI,title,why_full_text_needed,download_priority,user_action
SUB001;SUB002;SUB009;SUB013;SUB017,pmid-31091374,31091374,unknown,10.1056/NEJMoa1813904,"Alpelisib for PIK3CA-Mutated, Hormone Receptor-Positive Advanced Breast Cancer.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB014,pmid-31439579,31439579,unknown,10.1158/1078-0432.CCR-19-0508,"POSEIDON Trial Phase 1b Results: Safety, Efficacy and Circulating Tumor DNA Response of the Beta Isoform-Sparing PI3K Inhibitor Taselisib (GDC-0032) Combined with Tamoxifen in Hormone Receptor Positive Metastatic Breast Cancer Patients.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB004;SUB009,pmid-31594766,31594766,unknown,10.1158/2159-8290.CD-18-0830,PTEN Loss Mediates Clinical Cross-Resistance to CDK4/6 and PI3Kα Inhibitors in Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB012,pmid-31601188,31601188,PMC6785854,10.1186/s12885-019-6057-7,Interleukin-6 mediates resistance to PI3K-pathway-targeted therapy in lymphoma.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB017,pmid-32494066,32494066,unknown,10.1038/s41586-020-2175-2,Landscape and function of multiple mutations within individual oncogenes.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002;SUB010,pmid-32864625,32864625,PMC7450824,10.1038/s43018-020-0047-1,Alterations in PTEN and ESR1 promote clinical resistance to alpelisib plus aromatase inhibitors.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB015,pmid-32887722,32887722,unknown,10.1158/1078-0432.CCR-20-0645,Phase Ib Study of Ribociclib plus Fulvestrant and Ribociclib plus Fulvestrant plus PI3K Inhibitor (Alpelisib or Buparlisib) for HR+ Advanced Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB017,pmid-32929011,32929011,PMC7533832,10.1073/pnas.2000060117,PIK3CA C-terminal frameshift mutations are novel oncogenic events that sensitize tumors to PI3K-α inhibition.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB012;SUB017;SUB018,pmid-32976773,32976773,PMC7562820,10.1016/j.ccell.2020.08.016,Metabolic Imaging Detects Resistance to PI3Kα Inhibition Mediated by Persistent FOXM1 Expression in ER+ Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB006;SUB012;SUB018,pmid-33024087,33024087,PMC7538592,10.1038/s41419-020-03037-0,CD44/HA signaling mediates acquired resistance to a PI3Kα inhibitor.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-33168657,33168657,PMC8535764,10.1158/1078-0432.CCR-20-3652,"FDA Approval Summary: Alpelisib Plus Fulvestrant for Patients with HR-positive, HER2-negative, PIK3CA-mutated, Advanced or Metastatic Breast Cancer.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB014;SUB018,pmid-33186740,33186740,PMC8457522,10.1016/j.annonc.2020.10.596,"Phase III randomized study of taselisib or placebo with fulvestrant in estrogen receptor-positive, PIK3CA-mutant, HER2-negative, advanced breast cancer: the SANDPIPER trial.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB002;SUB013,pmid-33246021,33246021,unknown,10.1016/j.annonc.2020.11.011,"Alpelisib plus fulvestrant for PIK3CA-mutated, hormone receptor-positive, human epidermal growth factor receptor-2-negative advanced breast cancer: final overall survival results from SOLAR-1.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB002;SUB017,pmid-33602685,33602685,PMC8282704,10.1158/1078-0432.CCR-20-4879,Clinical and Biomarker Results from Phase I/II Study of PI3K Inhibitor Alpelisib plus Nab-paclitaxel in HER2-Negative Metastatic Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB004,pmid-33606974,33606974,PMC8384339,10.1016/j.molcel.2021.01.033,Regulation of PTEN translation by PI3K signaling maintains pathway homeostasis.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB017,pmid-33685991,33685991,PMC8137641,10.1158/0008-5472.CAN-20-3232,Genomic Alterations in PIK3CA-Mutated Breast Cancer Result in mTORC1 Activation and Limit the Sensitivity to PI3Kα Inhibitors.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-33794206,33794206,unknown,10.1016/S1470-2045(21)00034-6,"Alpelisib plus fulvestrant in PIK3CA-mutated, hormone receptor-positive advanced breast cancer after a CDK4/6 inhibitor (BYLieve): one cohort of a phase 2, multicentre, open-label, non-comparative study.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB002;SUB009;SUB013,pmid-33909934,33909934,PMC8265362,10.1002/onco.13804,"Effectiveness of Alpelisib + Fulvestrant Compared with Real-World Standard Treatment Among Patients with HR+, HER2-, PIK3CA-Mutated Breast Cancer.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-33947692,33947692,PMC8282678,10.1158/1078-0432.CCR-21-0047,A Phase I Study of Alpelisib in Combination with Trastuzumab and LJM716 in Patients with PIK3CA-Mutated HER2-Positive Metastatic Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-34544753,34544753,PMC9762331,10.1158/2159-8290.CD-21-0072,RTK-Dependent Inducible Degradation of Mutant PI3Kα Drives GDC-0077 (Inavolisib) Efficacy.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB006,pmid-34552006,34552006,unknown,10.1158/1535-7163.MCT-20-0981,Phosphoproteomics Identifies PI3K Inhibitor-selective Adaptive Responses in Pancreatic Cancer Cell Therapy and Resistance.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-35100734,35100734,unknown,10.1200/PO.19.00221,"Combined PIK3CA and FGFR Inhibition With Alpelisib and Infigratinib in Patients With PIK3CA-Mutant Solid Tumors, With or Without FGFR Alterations.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-35138919,35138919,PMC8865530,10.1200/PO.21.00424,Phase II Study of Taselisib in PIK3CA-Mutated Solid Tumors Other Than Breast and Squamous Lung Cancer: Results From the NCI-MATCH ECOG-ACRIN Trial (EAY131) Subprotocol I.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-35311394,35311394,unknown,10.1177/03008916211073621,"BYL719 (alpelisib) for the treatment of PIK3CA-mutated, recurrent/advanced cervical cancer.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-35365185,35365185,PMC8974145,10.1186/s13058-022-01521-3,Targeting SHP2 phosphatase in breast cancer overcomes RTK-mediated resistance to PI3K inhibitors.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB010,pmid-35771551,35771551,unknown,10.1158/2159-8290.CD-21-1696,"Alpelisib Monotherapy for PI3K-Altered, Pretreated Advanced Breast Cancer: A Phase II Study.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-35968355,35968355,PMC9360227,unknown,PI3K inhibitors in trastuzumab-resistant HER2-positive breast cancer cells with PI3K pathway alterations.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-36611120,36611120,unknown,10.1038/s41388-022-02585-3,Alpelisib and fulvestrant in PIK3CA-mutated hormone receptor-positive HER2-negative advanced breast cancer included in the French early access program.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-36805958,36805958,PMC12440294,10.1158/1535-7163.MCT-21-0667,Tumor and Stromal Cell Targeting with Nintedanib and Alpelisib Overcomes Intrinsic Bladder Cancer Resistance.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB010;SUB014,pmid-36892268,36892268,PMC10552898,10.1002/1878-0261.13416,"ER+, HER2- advanced breast cancer treated with taselisib and fulvestrant: genomic landscape and associated clinical outcomes.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-36923283,36923283,PMC10010328,10.1158/2767-9764.CRC-22-0028,A Phase IB Trial of the PI3K Inhibitor Alpelisib and Weekly Cisplatin in Patients with Solid Tumor Malignancies.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB006;SUB012;SUB017;SUB018,pmid-37044095,37044095,PMC10140479,10.1016/j.xcrm.2023.101002,N-acetylcysteine overcomes NF1 loss-driven resistance to PI3Kα inhibition in breast cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB010,pmid-37101291,37101291,PMC10131374,10.1186/s13073-023-01181-8,"Multiple PIK3CA mutation clonality correlates with outcomes in taselisib + fulvestrant-treated ER+/HER2-, PIK3CA-mutated breast cancers.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-37163178,37163178,PMC10164376,10.2147/BTT.S395817,Treating Alpelisib-Induced Hyperinsulinemia in Patients with Advanced Breast Cancer - A Real-Life Experience.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB006;SUB018,pmid-37493631,37493631,PMC10811747,10.1158/1541-7786.MCR-23-0034,CBF-Beta Mitigates PI3K-Alpha-Specific Inhibitor Killing through PIM1 in PIK3CA-Mutant Gastric Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB003;SUB016,pmid-37623743,37623743,PMC10618743,10.1158/2159-8290.CD-23-0396,"STX-478, a Mutant-Selective, Allosteric PI3Kα Inhibitor Spares Metabolic Dysfunction and Improves Therapeutic Response in PI3Kα-Mutant Xenografts.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002;SUB003;SUB004;SUB005;SUB006;SUB010;SUB016;SUB017;SUB018,pmid-37916958,37916958,PMC10850944,10.1158/2159-8290.CD-23-0704,Allosteric PI3Kα Inhibition Overcomes On-target Resistance to Orthosteric Inhibitors Mediated by Secondary PIK3CA Mutations.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB017,pmid-38273040,38273040,PMC10810864,10.1038/s41698-024-00496-y,Integrative modeling uncovers p21-driven drug resistance and prioritizes therapies for PIK3CA-mutant breast cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB012;SUB018,pmid-38286037,38286037,PMC11627550,10.1016/j.biopha.2024.116217,β1 integrin mediates unresponsiveness to PI3Kα inhibition for radiochemosensitization of 3D HNSCC models.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-38986734,38986734,unknown,10.1016/j.canlet.2024.217112,PI3K PROTAC overcomes the lapatinib resistance in PIK3CA-mutant HER2 positive breast cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-39177931,39177931,PMC11452482,10.1007/s10549-024-07405-8,SGLT2 inhibition improves PI3Kα inhibitor-induced hyperglycemia: findings from preclinical animal models and from patients in the BYLieve and SOLAR-1 trials.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB002;SUB009;SUB013,pmid-39637900,39637900,unknown,10.1016/S1470-2045(24)00673-9,"Alpelisib plus fulvestrant in PIK3CA-mutated, hormone receptor-positive advanced breast cancer after a CDK4/6 inhibitor (BYLieve): one cohort of a phase 2, multicentre, open-label, non-comparative study.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB012,pmid-39920872,39920872,PMC11806886,10.1186/s40170-025-00375-5,CD36 inhibition enhances the anti-proliferative effects of PI3K inhibitors in PTEN-loss anti-HER2 resistant breast cancer cells.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB004,pmid-40295072,40295072,unknown,10.21873/anticanres.17567,Development of Acquired Resistance in Alpelisib-treated Gastric Cancer Cells With PIK3CA Mutations and Overcoming Strategies.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB006,pmid-40360883,40360883,PMC12304390,10.1038/s41416-025-03035-z,"Multi-node inhibition targeting mTORC1, mTORC2 and PI3Kα potently inhibits the PI3K/AKT/mTOR pathway in endometrial and breast cancer models.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB004,pmid-40382983,40382983,unknown,10.1016/j.drup.2025.101251,MicroRNA-mediated PTEN downregulation as a novel non-genetic mechanism of acquired resistance to PI3Kα inhibitors of head & neck squamous cell carcinoma.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB003;SUB013,pmid-40454641,40454641,PMC13496148,10.1056/NEJMoa2501796,Overall Survival with Inavolisib in PIK3CA-Mutated Advanced Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-40536266,40536266,PMC12204390,10.1093/oncolo/oyaf126,Prolonged response to PIK3CA inhibition in an advanced hormone-positive breast cancer patient with 3 mutations in the alpha subunit of PI-3 kinase.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB003;SUB009;SUB015,pmid-40845250,40845250,unknown,10.1200/JCO-25-00663,"US Food and Drug Administration Approval Summary: Inavolisib With Palbociclib and Fulvestrant for Endocrine-Resistant, PIK3CA-Mutated, Hormone Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative, Locally Advanced or Metastatic Breast Cancer.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB004,pmid-40991650,40991650,PMC12618074,10.1172/JCI180927,USP10/GSK3β-mediated inhibition of PTEN drives resistance to PI3K inhibitors in breast cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB002;SUB009;SUB013,pmid-41967638,41967638,unknown,10.1016/j.annonc.2026.04.003,Genomic determinants of response to alpelisib plus fulvestrant in the SOLAR-1 trial.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB015,pmid-42202490,42202490,PMC13235453,10.1016/j.esmoop.2026.107735,"Safety analyses of the INAVO120 randomised phase III trial of inavolisib or placebo with palbociclib-fulvestrant in patients with PIK3CA-mutated, hormone receptor-positive, HER2-negative, endocrine-resistant advanced breast cancer.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB017,pmid-42373848,42373848,unknown,10.1038/s41598-026-57970-9,A phase II study of alpelisib and capecitabine in patients with previously treated metastatic colorectal cancer (KCSG-CO21-04).,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
