subsection_id,paper_id,PMID,PMCID,DOI,title,why_full_text_needed,download_priority,user_action
SUB006;SUB007,pmid-27604488,27604488,PMC5050154,10.1158/2159-8290.CD-16-0305,Systematic Functional Characterization of Resistance to PI3K Inhibition in Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB004,pmid-28129991,28129991,PMC5319926,10.1016/j.bmc.2017.01.012,Identification of allosteric binding sites for PI3Kα oncogenic mutant specific inhibitor design.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008;SUB010,pmid-28382169,28382169,PMC5381259,10.7150/thno.17830,Integration of Receptor Tyrosine Kinases Determines Sensitivity to PI3Kα-selective Inhibitors in Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-29231907,29231907,PMC5742817,10.3390/cancers9120169,Activated HGF-c-Met Axis in Head and Neck Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB002,pmid-29401002,29401002,PMC5920739,10.1200/JCO.2017.72.7107,Phosphatidylinositol 3-Kinase α-Selective Inhibition With Alpelisib (BYL719) in PIK3CA-Altered Solid Tumors: Results From the First-in-Human Study.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002;SUB008,pmid-29850984,29850984,unknown,10.1007/s10549-018-4792-0,Phase I study of alpelisib (BYL-719) and trastuzumab emtansine (T-DM1) in HER2-positive metastatic breast cancer (MBC) after trastuzumab and taxane therapy.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB007,pmid-29895527,29895527,PMC7439002,10.1530/ERC-18-0159,The role of GSK3 and its reversal with GSK3 antagonism in everolimus resistance.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB007,pmid-30115483,30115483,unknown,10.1016/j.oraloncology.2018.07.010,ERK-TSC2 signalling in constitutively-active HRAS mutant HNSCC cells promotes resistance to PI3K inhibition.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-30167089,30167089,PMC6114962,10.18632/oncotarget.25854,"A Phase Ib, open-label, dose-finding study of alpelisib in combination with paclitaxel in patients with advanced solid tumors.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB004,pmid-30245395,30245395,unknown,10.1016/j.ejmech.2018.09.002,"Synthesis, biological evaluation and structure-activity relationship of a novel class of PI3Kα H1047R mutant inhibitors.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-30413407,30413407,unknown,10.1158/2159-8290.CD-NB2018-146,Alpelisib Extends PFS in PIK3CA-Mutant Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB002;SUB009,pmid-30543347,30543347,PMC6439561,10.1001/jamaoncol.2018.4475,Alpelisib Plus Fulvestrant in PIK3CA-Altered and PIK3CA-Wild-Type Estrogen Receptor-Positive Advanced Breast Cancer: A Phase 1b Clinical Trial.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-30588709,30588709,PMC6398875,10.1111/cas.13923,"Phase I study of alpelisib (BYL719), an α-specific PI3K inhibitor, in Japanese patients with advanced solid tumors.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB010,pmid-30860495,30860495,PMC6538319,10.1172/jci.insight.125341,Repression of AXL expression by AP-1/JNK blockage overcomes resistance to PI3Ka therapy.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB002;SUB009,pmid-31091374,31091374,unknown,10.1056/NEJMoa1813904,"Alpelisib for PIK3CA-Mutated, Hormone Receptor-Positive Advanced Breast Cancer.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB009,pmid-31494037,31494037,unknown,10.1016/S1470-2045(19)30420-6,"Endocrine treatment versus chemotherapy in postmenopausal women with hormone receptor-positive, HER2-negative, metastatic breast cancer: a systematic review and network meta-analysis.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB009,pmid-31852484,31852484,PMC6921513,10.1186/s13058-019-1230-0,Elacestrant (RAD1901) exhibits anti-tumor activity in multiple ER+ breast cancer models resistant to CDK4/6 inhibitors.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB009,pmid-31859350,31859350,PMC6923785,10.1093/annonc/mdz280,Biomarkers of response and resistance to PI3K inhibitors in estrogen receptor-positive breast cancer patients and combination therapies involving PI3K inhibitors.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB009,pmid-32252811,32252811,PMC7137211,10.1186/s13058-020-01271-0,Everolimus versus alpelisib in advanced hormone receptor-positive HER2-negative breast cancer: targeting different nodes of the PI3K/AKT/mTORC1 pathway with different clinical implications.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-32404150,32404150,PMC7222307,10.1186/s13058-020-01284-9,Frequency and spectrum of PIK3CA somatic mutations in breast cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB009,pmid-32415339,32415339,unknown,10.1007/s11912-020-00917-8,Sequencing Endocrine Therapy for Metastatic Breast Cancer: What Do We Do After Disease Progression on a CDK4/6 Inhibitor?,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002;SUB009,pmid-32416251,32416251,unknown,10.1016/j.annonc.2020.05.001,Time course and management of key adverse events during the randomized phase III SOLAR-1 study of PI3K inhibitor alpelisib plus fulvestrant in patients with HR-positive advanced breast cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-32591580,32591580,PMC7319999,10.1038/s41598-020-67393-9,Real world data analysis of next generation sequencing and protein expression in metastatic breast cancer patients.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB009,pmid-32782489,32782489,PMC7388095,10.1177/1758835920940939,Targeting the PI3K/Akt/mTOR pathway in estrogen-receptor positive HER2 negative advanced breast cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-32817061,32817061,PMC7437706,10.1136/esmoopen-2020-000890,PIK3CA mutation inhibition in hormone receptor-positive breast cancer: time has come.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002;SUB005;SUB009,pmid-32864625,32864625,PMC7450824,10.1038/s43018-020-0047-1,Alterations in PTEN and ESR1 promote clinical resistance to alpelisib plus aromatase inhibitors.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-32869930,32869930,PMC7648336,10.1634/theoncologist.2020-0449,Biomarkers in Breast Cancer: An Integrated Analysis of Comprehensive Genomic Profiling and PD-L1 Immunohistochemistry Biomarkers in 312 Patients with Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB009,pmid-32887722,32887722,unknown,10.1158/1078-0432.CCR-20-0645,Phase Ib Study of Ribociclib plus Fulvestrant and Ribociclib plus Fulvestrant plus PI3K Inhibitor (Alpelisib or Buparlisib) for HR+ Advanced Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB009,pmid-32964734,32964734,unknown,10.2217/fon-2020-0464,Alpelisib in the treatment of metastatic HR+ breast cancer with PIK3CA mutations.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB007,pmid-33024087,33024087,PMC7538592,10.1038/s41419-020-03037-0,CD44/HA signaling mediates acquired resistance to a PI3Kα inhibitor.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB007,pmid-33036331,33036331,PMC7601167,10.3390/jcm9103214,CDK 4/6 Inhibition Overcomes Acquired and Inherent Resistance to PI3Kα Inhibition in Pre-Clinical Models of Head and Neck Squamous Cell Carcinoma.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB010,pmid-33059733,33059733,PMC7559997,10.1186/s13046-020-01713-9,TAM family receptors in conjunction with MAPK signalling are involved in acquired resistance to PI3Kα inhibition in head and neck squamous cell carcinoma.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB009,pmid-33168657,33168657,PMC8535764,10.1158/1078-0432.CCR-20-3652,"FDA Approval Summary: Alpelisib Plus Fulvestrant for Patients with HR-positive, HER2-negative, PIK3CA-mutated, Advanced or Metastatic Breast Cancer.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB009,pmid-33190190,33190190,PMC7854469,10.1007/s12325-020-01552-2,"Clinical Challenges in the Management of Hormone Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative Metastatic Breast Cancer: A Literature Review.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB009,pmid-33213227,33213227,unknown,10.1080/17425255.2021.1844662,"A pharmacokinetic evaluation of alpelisib for the treatment of HR+, HER2-negative, PIK3CA-mutated advanced or metastatic breast cancer.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB002,pmid-33246021,33246021,unknown,10.1016/j.annonc.2020.11.011,"Alpelisib plus fulvestrant for PIK3CA-mutated, hormone receptor-positive, human epidermal growth factor receptor-2-negative advanced breast cancer: final overall survival results from SOLAR-1.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-33386585,33386585,PMC8065000,10.1007/s12282-020-01199-5,PIK3CA somatic alterations in invasive breast cancers: different spectrum from Caucasians to Chinese detected by next generation sequencing.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB009,pmid-33520003,33520003,PMC7829038,10.1007/s12254-021-00674-9,ASCO 2020: highlights in breast cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-33575071,33575071,PMC7646628,10.6004/jadpro.2020.11.7.9,Alpelisib: A Novel Therapy for Patients With PIK3CA-Mutated Metastatic Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB002,pmid-33602685,33602685,PMC8282704,10.1158/1078-0432.CCR-20-4879,Clinical and Biomarker Results from Phase I/II Study of PI3K Inhibitor Alpelisib plus Nab-paclitaxel in HER2-Negative Metastatic Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-33622114,33622114,unknown,10.1080/14656566.2021.1873952,"Alpelisib for the treatment of PIK3CA-mutated, hormone receptor-positive, HER2-negative metastatic breast cancer.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB007,pmid-33668685,33668685,PMC7918312,10.3390/ijms22041882,"PRKAR1B-AS2 Long Noncoding RNA Promotes Tumorigenesis, Survival, and Chemoresistance via the PI3K/AKT/mTOR Pathway.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB002,pmid-33780274,33780274,PMC8210974,10.1200/JCO.20.01139,"Patient-Reported Outcomes in Patients With PIK3CA-Mutated Hormone Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative Advanced Breast Cancer From SOLAR-1.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB002;SUB009,pmid-33794206,33794206,unknown,10.1016/S1470-2045(21)00034-6,"Alpelisib plus fulvestrant in PIK3CA-mutated, hormone receptor-positive advanced breast cancer after a CDK4/6 inhibitor (BYLieve): one cohort of a phase 2, multicentre, open-label, non-comparative study.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB009,pmid-33909934,33909934,PMC8265362,10.1002/onco.13804,"Effectiveness of Alpelisib + Fulvestrant Compared with Real-World Standard Treatment Among Patients with HR+, HER2-, PIK3CA-Mutated Breast Cancer.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-33947692,33947692,PMC8282678,10.1158/1078-0432.CCR-21-0047,A Phase I Study of Alpelisib in Combination with Trastuzumab and LJM716 in Patients with PIK3CA-Mutated HER2-Positive Metastatic Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB009,pmid-33976551,33976551,PMC8104980,10.2147/OTT.S298720,"Advances in Therapy for Hormone Receptor (HR)-Positive, Human Epidermal Growth Factor Receptor 2 (HER2)-Negative Advanced Breast Cancer Patients Who Have Experienced Progression After Treatment with CDK4/6 Inhibitors.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-34012367,34012367,PMC8114069,10.1159/000514794,First Experiences with Alpelisib in Clinical Routine: Case Reports from a German Breast Center.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB010,pmid-34020697,34020697,PMC8139055,10.1186/s13058-021-01433-8,Analysis of genomic and non-genomic signaling of estrogen receptor in PDX models of breast cancer treated with a combination of the PI3K inhibitor alpelisib (BYL719) and fulvestrant.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB009,pmid-34047239,34047239,unknown,10.1080/14740338.2021.1931116,"Efficacy and safety of CDK4/6 and PI3K/AKT/mTOR inhibitors as second-line treatment in postmenopausal patients with hormone receptor-positive, HER-2-negative metastatic breast cancer: a network meta-analysis.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB010,pmid-34067117,34067117,PMC8125641,10.3390/cancers13092250,IGF2 Mediates Resistance to Isoform-Selective-Inhibitors of the PI3K in HPV Positive Head and Neck Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-34084688,34084688,PMC8166359,10.7759/cureus.14796,Alpelisib-Induced Diabetic Ketoacidosis.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-34173298,34173298,PMC8262312,10.1002/onco.13873,Potential for Long-Term Disease Control with Alpelisib Plus Fulvestrant Spans Patient Subgroups in HR+ PIK3CA-Mutated Advanced Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB003,pmid-34544753,34544753,PMC9762331,10.1158/2159-8290.CD-21-0072,RTK-Dependent Inducible Degradation of Mutant PI3Kα Drives GDC-0077 (Inavolisib) Efficacy.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB007,pmid-34552006,34552006,unknown,10.1158/1535-7163.MCT-20-0981,Phosphoproteomics Identifies PI3K Inhibitor-selective Adaptive Responses in Pancreatic Cancer Cell Therapy and Resistance.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-34754095,34754095,PMC8810831,10.1038/s41416-021-01601-9,Sensitive and robust liquid biopsy-based detection of PIK3CA mutations in hormone-receptor-positive metastatic breast cancer patients.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-35000092,35000092,unknown,10.1007/s10549-021-06476-1,"Factors leading to alpelisib discontinuation in patients with hormone receptor positive, human epidermal growth factor receptor-2 negative breast cancer.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB003,pmid-35022207,35022207,PMC7612218,10.1158/2159-8290.CD-21-1411,Precision Targeting of Mutant PI3Kα in Cancer by Selective Degradation.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-35075945,35075945,PMC8793384,10.1177/15347354211073163,Management of Phosphatidylinositol-3-Kinase Inhibitor-Associated Hyperglycemia.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-35178031,35178031,PMC8843667,10.3389/fendo.2022.802612,"Alpelisib-Induced Diabetes Mellitus: Case Report, Pharmacodynamics and Management Considerations.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-35181669,35181669,PMC8857304,10.1038/s41523-022-00382-5,PIK3CA co-occurring mutations and copy-number gain in hormone receptor positive and HER2 negative breast cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB002;SUB009,pmid-35348782,35348782,PMC8963159,10.1093/oncolo/oyac011,Alpelisib Plus Fulvestrant or Letrozole Demonstrates Sustained Benefits Across Subgroups of Patients with PIK3CA-Mutated HR+/HER2- Advanced Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-35712858,35712858,PMC9210085,10.1177/23247096221105249,S.U.G.A.R: A Case to Outline Tactics for the Prevention of Alpelisib-Induced Hyperglycemia.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB002,pmid-35771551,35771551,unknown,10.1158/2159-8290.CD-21-1696,"Alpelisib Monotherapy for PI3K-Altered, Pretreated Advanced Breast Cancer: A Phase II Study.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-35968355,35968355,PMC9360227,unknown,PI3K inhibitors in trastuzumab-resistant HER2-positive breast cancer cells with PI3K pathway alterations.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB009,pmid-35982377,35982377,unknown,10.1007/s11427-021-2140-8,Overexpressed Cyclin D1 and CDK4 proteins are responsible for the resistance to CDK4/6 inhibitor in breast cancer that can be reversed by PI3K/mTOR inhibitors.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-36292649,36292649,PMC9601363,10.3390/genes13101763,Alpelisib Efficacy in Hormone Receptor-Positive HER2-Negative PIK3CA-Mutant Advanced Breast Cancer Post-Everolimus Treatment.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-36321996,36321996,PMC10011882,10.1158/1078-0432.CCR-22-2115,Biology and Targetability of the Extended Spectrum of PIK3CA Mutations Detected in Breast Carcinoma.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-36367572,36367572,PMC10067656,10.1007/s00428-022-03445-x,Proficiency testing of PIK3CA mutations in HR+/HER2-breast cancer on liquid biopsy and tissue.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-36387506,36387506,PMC9650006,10.1016/j.heliyon.2022.e11396,Chip-based digital Polymerase Chain Reaction as quantitative technique for the detection of PIK3CA mutations in breast cancer patients.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-36428975,36428975,PMC9688837,10.3390/cells11223545,Analytical Performance of Next-Generation Sequencing and RT-PCR on Formalin-Fixed Paraffin-Embedded Tumor Tissues for PIK3CA Testing in HR+/HER2- Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB003,pmid-36455032,36455032,unknown,10.1021/acs.jmedchem.2c01422,"Discovery of GDC-0077 (Inavolisib), a Highly Selective Inhibitor and Degrader of Mutant PI3Kα.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-36579519,36579519,PMC9694420,10.3390/jpm12111793,PIK3CAMutations in Breast Cancer Subtypes Other Than HR-Positive/HER2-Negative.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-36611120,36611120,unknown,10.1038/s41388-022-02585-3,Alpelisib and fulvestrant in PIK3CA-mutated hormone receptor-positive HER2-negative advanced breast cancer included in the French early access program.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-36913051,36913051,PMC10147754,10.1007/s10549-023-06895-2,"Antitumor activity of the PI3K δ-sparing inhibitor MEN1611 in PIK3CA mutated, trastuzumab-resistant HER2 + breast cancer.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB007;SUB010,pmid-37044095,37044095,PMC10140479,10.1016/j.xcrm.2023.101002,N-acetylcysteine overcomes NF1 loss-driven resistance to PI3Kα inhibition in breast cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-37101291,37101291,PMC10131374,10.1186/s13073-023-01181-8,"Multiple PIK3CA mutation clonality correlates with outcomes in taselisib + fulvestrant-treated ER+/HER2-, PIK3CA-mutated breast cancers.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-37163178,37163178,PMC10164376,10.2147/BTT.S395817,Treating Alpelisib-Induced Hyperinsulinemia in Patients with Advanced Breast Cancer - A Real-Life Experience.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB007,pmid-37339176,37339176,PMC10543974,10.1158/0008-5472.CAN-23-0282,Tipifarnib Potentiates the Antitumor Effects of PI3Kα Inhibition in PIK3CA- and HRAS-Dysregulated HNSCC via Convergent Inhibition of mTOR Activity.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-37348428,37348428,PMC10314290,10.1016/j.neo.2023.100913,P110α inhibitor alpelisib exhibits a synergistic effect with pyrotinib and reverses pyrotinib resistant in HER2+ breast cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-37501404,37501404,PMC10701778,10.1002/1878-0261.13500,Activation of the EGFR/PI3K/AKT pathway limits the efficacy of trametinib treatment in head and neck cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-37553597,37553597,PMC10408073,10.1186/s12885-023-11243-0,BYL719 reverses gefitinib-resistance induced by PI3K/AKT activation in non-small cell lung cancer cells.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
