subsection_id,query_id,query,raw_hit_count,collected_count,truncated_by_constraint,sample_size,sample_strategy,sampled_on_scope_count,sampled_noise_count,estimated_precision,dominant_noise_classes,missing_concepts,recall_signals,decision,revision_rationale
SUB003,SUB003-Q003,"combination[Title/Abstract] AND (""STX-478""[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND resistance[Title/Abstract]",10,10,false,10,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=4;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB003,SUB003-Q004,40845250[PMID] OR 40454641[PMID] OR 37623743[PMID],3,3,false,3,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=4;recovered_pmids=0,broaden_query,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB004,SUB004-Q001,"(PTEN[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (resistance[Title/Abstract] OR loss[Title/Abstract] OR acquired[Title/Abstract]) AND (BYL719[Title/Abstract] OR PI3K[Title/Abstract])",2244,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,refine_query,Query returned 2244 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB004,SUB004-Q002,"(PTEN[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR BYL719[Title/Abstract]) AND (resistance[Title/Abstract] OR loss[Title/Abstract] OR acquired[Title/Abstract] OR ""acquired-resistance""[Title/Abstract]) AND (PI3K[Title/Abstract] OR ""alpelisib/inavolisib""[Title/Abstract] OR ""model-system""[Title/Abstract])",2304,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,refine_query,Query returned 2304 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB004,SUB004-Q003,"patient[Title/Abstract] AND (PTEN[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR BYL719[Title/Abstract]) AND (resistance[Title/Abstract] OR loss[Title/Abstract])",973,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,refine_query,Query returned 973 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB004,SUB004-Q004,25409150[PMID] OR 37916958[PMID],2,2,false,2,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,broaden_query,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB005,SUB005-Q001,"(PIK3CA[Title/Abstract] OR ""RLY-2608""[Title/Abstract]) AND (resistance[Title/Abstract] OR mutations[Title/Abstract] OR mutation[Title/Abstract]) AND (""on-target""[Title/Abstract] OR ""next-generation""[Title/Abstract])",1695,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,refine_query,Query returned 1695 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB005,SUB005-Q002,"(PIK3CA[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR ""on-target""[Title/Abstract]) AND (resistance[Title/Abstract] OR mutations[Title/Abstract] OR mutation[Title/Abstract] OR ""resistance-overcoming""[Title/Abstract]) AND (""next-generation""[Title/Abstract] OR kinase[Title/Abstract] OR ""mutant-selective""[Title/Abstract])",3606,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,refine_query,Query returned 3606 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB005,SUB005-Q003,"(PIK3CA[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR ""on-target""[Title/Abstract]) AND (resistance[Title/Abstract] OR mutations[Title/Abstract]) AND (""next-generation""[Title/Abstract] OR kinase[Title/Abstract] OR ""mutant-selective""[Title/Abstract])",3315,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,refine_query,Query returned 3315 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB005,SUB005-Q004,37916958[PMID],1,1,false,1,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,broaden_query,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB006,SUB006-Q001,"(""PI3K-alpha""[Title/Abstract] OR ""AKT/mTOR""[Title/Abstract]) AND (reactivation[Title/Abstract] OR resistance[Title/Abstract] OR inhibition[Title/Abstract]) AND (AKT[Title/Abstract] OR ""model-system""[Title/Abstract])",7627,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,refine_query,Query returned 7627 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB006,SUB006-Q002,"(""PI3K-alpha""[Title/Abstract] OR ""AKT/mTOR""[Title/Abstract] OR AKT[Title/Abstract]) AND (reactivation[Title/Abstract] OR resistance[Title/Abstract] OR inhibition[Title/Abstract] OR Compensation[Title/Abstract]) AND (""model-system""[Title/Abstract] OR ""PI3K/AKT/mTOR""[Title/Abstract] OR ""mTOR/AKT""[Title/Abstract])",5295,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,refine_query,Query returned 5295 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB006,SUB006-Q003,"combination[Title/Abstract] AND (""PI3K-alpha""[Title/Abstract] OR ""AKT/mTOR""[Title/Abstract] OR AKT[Title/Abstract]) AND (reactivation[Title/Abstract] OR resistance[Title/Abstract])",3643,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,refine_query,Query returned 3643 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB006,SUB006-Q004,37916958[PMID],1,1,false,1,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,broaden_query,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB007,SUB007-Q001,"(""PI3K-alpha""[Title/Abstract] OR ""MAPK/ERK""[Title/Abstract]) AND (resistance[Title/Abstract] OR ""bypass-resistance""[Title/Abstract]) AND (""MEK/MAPK""[Title/Abstract] OR ""PI3K-MAPK""[Title/Abstract])",14,14,false,14,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB007,SUB007-Q002,"(""PI3K-alpha""[Title/Abstract] OR ""MAPK/ERK""[Title/Abstract] OR ""MEK/MAPK""[Title/Abstract]) AND (resistance[Title/Abstract] OR ""bypass-resistance""[Title/Abstract] OR bypass[Title/Abstract]) AND (""PI3K-MAPK""[Title/Abstract] OR MAPK[Title/Abstract] OR ""MAPK-family""[Title/Abstract])",698,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,refine_query,Query returned 698 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB007,SUB007-Q003,"Combination[Title/Abstract] AND (""PI3K-alpha""[Title/Abstract] OR ""MAPK/ERK""[Title/Abstract] OR ""MEK/MAPK""[Title/Abstract]) AND (resistance[Title/Abstract] OR ""bypass-resistance""[Title/Abstract])",158,158,false,158,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB007,SUB007-Q004,37916958[PMID],1,1,false,1,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,broaden_query,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB008,SUB008-Q001,"(""PI3K-alpha""[Title/Abstract] OR ""HER2/ERBB""[Title/Abstract]) AND (PI3K[Title/Abstract] OR ""ERBB/EGFR""[Title/Abstract] OR CD36[Title/Abstract])",138,138,false,138,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB008,SUB008-Q002,"(""PI3K-alpha""[Title/Abstract] OR ""HER2/ERBB""[Title/Abstract] OR PI3K[Title/Abstract]) AND (resistance[Title/Abstract] OR inhibition[Title/Abstract]) AND (""ERBB/EGFR""[Title/Abstract] OR CD36[Title/Abstract] OR HER2[Title/Abstract])",1083,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,refine_query,Query returned 1083 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB008,SUB008-Q003,"combination[Title/Abstract] AND (""PI3K-alpha""[Title/Abstract] OR ""HER2/ERBB""[Title/Abstract] OR PI3K[Title/Abstract]) AND (resistance[Title/Abstract] OR inhibition[Title/Abstract])",4487,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,refine_query,Query returned 4487 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB008,SUB008-Q004,39920872[PMID],1,1,false,1,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,broaden_query,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB009,SUB009-Q001,"(""PI3K-alpha""[Title/Abstract] OR ""post-CDK4/6""[Title/Abstract]) AND (resistance[Title/Abstract] OR inhibition[Title/Abstract] OR ""endocrine-resistance""[Title/Abstract]) AND (""SOLAR-1""[Title/Abstract] OR ESR1[Title/Abstract])",6,6,false,6,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=3;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB009,SUB009-Q002,"(""PI3K-alpha""[Title/Abstract] OR ""post-CDK4/6""[Title/Abstract] OR ""SOLAR-1""[Title/Abstract]) AND (resistance[Title/Abstract] OR inhibition[Title/Abstract] OR ""endocrine-resistance""[Title/Abstract]) AND (ESR1[Title/Abstract] OR endocrine[Title/Abstract] OR ""HR-positive""[Title/Abstract])",23,23,false,23,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=3;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB009,SUB009-Q003,"(combination[Title/Abstract] OR therapy[Title/Abstract]) AND (""PI3K-alpha""[Title/Abstract] OR ""post-CDK4/6""[Title/Abstract] OR ""SOLAR-1""[Title/Abstract]) AND (resistance[Title/Abstract] OR inhibition[Title/Abstract])",52,52,false,52,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=3;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB009,SUB009-Q004,31091374[PMID] OR 39637900[PMID] OR 40845250[PMID],3,3,false,3,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=3;recovered_pmids=0,broaden_query,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB010,SUB010-Q001,(PIK3CA[Title/Abstract] OR PI3K[Title/Abstract] OR alpelisib[Title/Abstract] OR BYL719[Title/Abstract]) AND (resistance[Title/Abstract] OR resistant[Title/Abstract] OR progression[Title/Abstract]) AND (heterogeneity[Title/Abstract] OR clonal[Title/Abstract] OR subclonal[Title/Abstract]),1084,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,refine_query,Query returned 1084 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB010,SUB010-Q002,"(PIK3CA[Title/Abstract] OR ""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR alpelisib[Title/Abstract] OR inavolisib[Title/Abstract]) AND (""acquired resistance""[Title/Abstract] OR progression[Title/Abstract] OR resistant[Title/Abstract]) AND (ctDNA[Title/Abstract] OR ""circulating tumor DNA""[Title/Abstract] OR serial[Title/Abstract] OR longitudinal[Title/Abstract])",254,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,refine_query,Query returned 254 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB010,SUB010-Q003,"(PIK3CA[Title/Abstract] OR PI3K[Title/Abstract] OR alpelisib[Title/Abstract]) AND (""tumor heterogeneity""[Title/Abstract] OR ""clonal evolution""[Title/Abstract] OR ""tumour heterogeneity""[Title/Abstract]) AND (therapy[Title/Abstract] OR treatment[Title/Abstract] OR inhibitor[Title/Abstract])",264,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,refine_query,Query returned 264 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB010,SUB010-Q004,37916958[PMID],1,1,false,1,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,broaden_query,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB011,SUB011-Q001,"(""PI3K-alpha""[Title/Abstract] OR ""Single-cell""[Title/Abstract]) AND (resistance[Title/Abstract] OR adaptation[Title/Abstract] OR plasticity[Title/Abstract]) AND (""functional-state""[Title/Abstract] OR lineage[Title/Abstract])",867,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,no_draft_targets,refine_query,Query returned 867 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB011,SUB011-Q002,"(""PI3K-alpha""[Title/Abstract] OR ""Single-cell""[Title/Abstract] OR ""functional-state""[Title/Abstract]) AND (resistance[Title/Abstract] OR adaptation[Title/Abstract] OR plasticity[Title/Abstract]) AND (lineage[Title/Abstract] OR ""non-genetic""[Title/Abstract] OR state[Title/Abstract])",2621,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,no_draft_targets,refine_query,Query returned 2621 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB011,SUB011-Q003,"combination[Title/Abstract] AND (""PI3K-alpha""[Title/Abstract] OR ""Single-cell""[Title/Abstract] OR ""functional-state""[Title/Abstract]) AND (resistance[Title/Abstract] OR adaptation[Title/Abstract])",979,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,no_draft_targets,refine_query,Query returned 979 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB011,SUB011-Q004,"(""PI3K-alpha""[Title/Abstract] OR ""Single-cell""[Title/Abstract] OR ""functional-state""[Title/Abstract]) AND (resistance[Title/Abstract] OR adaptation[Title/Abstract] OR plasticity[Title/Abstract]) AND (lineage[Title/Abstract] OR ""non-genetic""[Title/Abstract] OR state[Title/Abstract])",2621,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,no_draft_targets,refine_query,Query returned 2621 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB012,SUB012-Q001,"(""PI3K-alpha""[Title/Abstract] OR CD36[Title/Abstract]) AND (resistance[Title/Abstract] OR ""PTEN-loss""[Title/Abstract] OR adaptation[Title/Abstract]) AND (PI3K[Title/Abstract] OR ""PI3K-pathway""[Title/Abstract])",56,56,false,56,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB012,SUB012-Q002,"(""PI3K-alpha""[Title/Abstract] OR CD36[Title/Abstract] OR PI3K[Title/Abstract]) AND (resistance[Title/Abstract] OR ""PTEN-loss""[Title/Abstract] OR adaptation[Title/Abstract] OR inhibition[Title/Abstract]) AND (""PI3K-pathway""[Title/Abstract] OR ""anti-HER2""[Title/Abstract] OR ""metabolic/HER2-context""[Title/Abstract])",2037,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,refine_query,Query returned 2037 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB012,SUB012-Q003,"(""PI3K-alpha""[Title/Abstract] OR CD36[Title/Abstract] OR PI3K[Title/Abstract]) AND (resistance[Title/Abstract] OR ""PTEN-loss""[Title/Abstract]) AND (""PI3K-pathway""[Title/Abstract] OR ""anti-HER2""[Title/Abstract] OR ""metabolic/HER2-context""[Title/Abstract])",951,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,refine_query,Query returned 951 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB012,SUB012-Q004,39920872[PMID],1,1,false,1,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,broaden_query,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB013,SUB013-Q001,"(""SOLAR-1""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (""mutation-detection""[Title/Abstract] OR inhibition[Title/Abstract]) AND (""CDK4/6""[Title/Abstract] OR ""PIK3CA-mutated""[Title/Abstract])",5,5,false,5,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=4;recovered_pmids=0,broaden_query,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB013,SUB013-Q002,"(""SOLAR-1""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR ""CDK4/6""[Title/Abstract]) AND (""mutation-detection""[Title/Abstract] OR inhibition[Title/Abstract] OR resistance[Title/Abstract]) AND (""PIK3CA-mutated""[Title/Abstract] OR ""Post-CDK4/6""[Title/Abstract] OR ""Durable-Benefit""[Title/Abstract])",35,35,false,35,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=4;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB013,SUB013-Q003,"trials[Title/Abstract] AND (""SOLAR-1""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR ""CDK4/6""[Title/Abstract]) AND (""mutation-detection""[Title/Abstract] OR inhibition[Title/Abstract])",216,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=4;recovered_pmids=0,refine_query,Query returned 216 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB013,SUB013-Q004,31091374[PMID] OR 33246021[PMID] OR 39637900[PMID] OR 40454641[PMID],4,4,false,4,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=4;recovered_pmids=0,broaden_query,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB014,SUB014-Q001,"(PI3K[Title/Abstract] OR ""PI3K-alpha-relevant""[Title/Abstract]) AND resistance[Title/Abstract] AND (SANDPIPER[Title/Abstract] OR Failed[Title/Abstract])",172,172,false,172,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB014,SUB014-Q002,"(PI3K[Title/Abstract] OR ""PI3K-alpha-relevant""[Title/Abstract] OR SANDPIPER[Title/Abstract]) AND resistance[Title/Abstract] AND (Failed[Title/Abstract] OR ""next-generation""[Title/Abstract] OR ""efficacy/tolerability""[Title/Abstract])",423,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,refine_query,Query returned 423 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB014,SUB014-Q003,"(trial[Title/Abstract] OR trials[Title/Abstract] OR combination[Title/Abstract]) AND (PI3K[Title/Abstract] OR ""PI3K-alpha-relevant""[Title/Abstract] OR SANDPIPER[Title/Abstract]) AND resistance[Title/Abstract]",3257,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,refine_query,Query returned 3257 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB014,SUB014-Q004,33186740[PMID],1,1,false,1,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,broaden_query,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB015,SUB015-Q001,"(""HER2-directed""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (resistance[Title/Abstract] OR ""resistance-overcoming""[Title/Abstract]) AND (""CDK4/6""[Title/Abstract] OR INAVO120[Title/Abstract])",11,11,false,11,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB015,SUB015-Q002,"(""HER2-directed""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR ""CDK4/6""[Title/Abstract]) AND (resistance[Title/Abstract] OR ""resistance-overcoming""[Title/Abstract]) AND (INAVO120[Title/Abstract] OR ""Triple-combination""[Title/Abstract] OR ""AKT/mTOR/MAPK-pathway""[Title/Abstract])",13,13,false,13,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB015,SUB015-Q003,"(Combination[Title/Abstract] OR trial[Title/Abstract] OR trials[Title/Abstract]) AND (""HER2-directed""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR ""CDK4/6""[Title/Abstract]) AND (resistance[Title/Abstract] OR ""resistance-overcoming""[Title/Abstract])",895,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,refine_query,Query returned 895 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB015,SUB015-Q004,40845250[PMID] OR 42202490[PMID],2,2,false,2,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,broaden_query,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB016,SUB016-Q001,"(""RLY-2608""[Title/Abstract] OR ""STX-478""[Title/Abstract]) AND (resistance[Title/Abstract] OR ""resistance-overcoming""[Title/Abstract]) AND (""PI3K-alpha""[Title/Abstract] OR ""Mutant-selective""[Title/Abstract])",2,2,false,2,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=3;recovered_pmids=0,broaden_query,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB016,SUB016-Q002,"(""RLY-2608""[Title/Abstract] OR ""STX-478""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (resistance[Title/Abstract] OR ""resistance-overcoming""[Title/Abstract]) AND (""Mutant-selective""[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""PIK3CA-mutant""[Title/Abstract])",17,17,false,17,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=3;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB016,SUB016-Q003,"(""RLY-2608""[Title/Abstract] OR ""STX-478""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (resistance[Title/Abstract] OR ""resistance-overcoming""[Title/Abstract]) AND (""Mutant-selective""[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""PIK3CA-mutant""[Title/Abstract])",17,17,false,17,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=3;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB016,SUB016-Q004,37916958[PMID] OR 37623743[PMID],2,2,false,2,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=3;recovered_pmids=0,broaden_query,Sparse result count; controller should broaden unless known draft anchors are recovered.
