subsection_id,query_id,query_type,pubmed_query,required_terms,optional_terms,excluded_terms,expected_result_band,recall_targets,query_rationale
SUB005,SUB005-Q002,mechanism_expansion,"(PIK3CA[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR ""on-target""[Title/Abstract]) AND (resistance[Title/Abstract] OR mutations[Title/Abstract] OR mutation[Title/Abstract] OR ""resistance-overcoming""[Title/Abstract]) AND (""next-generation""[Title/Abstract] OR kinase[Title/Abstract] OR ""mutant-selective""[Title/Abstract])",PIK3CA;RLY-2608,resistance;mutations;mutation;resistance-overcoming,,6-200,S05-C001;S05-C002,Mechanism-focused expansion derived from subsection content.
SUB005,SUB005-Q003,context_expansion,"(PIK3CA[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR ""on-target""[Title/Abstract]) AND (resistance[Title/Abstract] OR mutations[Title/Abstract]) AND (""next-generation""[Title/Abstract] OR kinase[Title/Abstract] OR ""mutant-selective""[Title/Abstract])",PIK3CA;RLY-2608;resistance,Secondary;on-target;mutations;next-generation;kinase,,6-200,S05-C001;S05-C002,Context or assay expansion derived from subsection prose.
SUB005,SUB005-Q004,recall_guard,37916958[PMID],,,,1-20,S05-C001;S05-C002,Recover known draft citations and citation anchors.
SUB006,SUB006-Q001,high_precision,"(""PI3K-alpha""[Title/Abstract] OR ""AKT/mTOR""[Title/Abstract]) AND (reactivation[Title/Abstract] OR resistance[Title/Abstract] OR inhibition[Title/Abstract]) AND (AKT[Title/Abstract] OR ""model-system""[Title/Abstract])",PI3K-alpha;AKT/mTOR;AKT;model-system,PI3K/AKT/mTOR;pathway;reactivation;resistance;combination;inhibition;mTOR/AKT;pathway-adjacent,,6-200,S06-C001,Focused query derived primarily from subsection prose and citation notes.
SUB006,SUB006-Q002,mechanism_expansion,"(""PI3K-alpha""[Title/Abstract] OR ""AKT/mTOR""[Title/Abstract] OR AKT[Title/Abstract]) AND (reactivation[Title/Abstract] OR resistance[Title/Abstract] OR inhibition[Title/Abstract] OR Compensation[Title/Abstract]) AND (""model-system""[Title/Abstract] OR ""PI3K/AKT/mTOR""[Title/Abstract] OR ""mTOR/AKT""[Title/Abstract])",PI3K-alpha;AKT/mTOR,reactivation;resistance;inhibition;Compensation,,6-200,S06-C001,Mechanism-focused expansion derived from subsection content.
SUB006,SUB006-Q003,context_expansion,"combination[Title/Abstract] AND (""PI3K-alpha""[Title/Abstract] OR ""AKT/mTOR""[Title/Abstract] OR AKT[Title/Abstract]) AND (reactivation[Title/Abstract] OR resistance[Title/Abstract])",PI3K-alpha;AKT/mTOR;AKT,model-system;PI3K/AKT/mTOR;pathway;reactivation;resistance,,6-200,S06-C001,Context or assay expansion derived from subsection prose.
SUB006,SUB006-Q004,recall_guard,37916958[PMID],,,,1-20,S06-C001,Recover known draft citations and citation anchors.
SUB007,SUB007-Q001,high_precision,"(""PI3K-alpha""[Title/Abstract] OR ""MAPK/ERK""[Title/Abstract]) AND (resistance[Title/Abstract] OR ""bypass-resistance""[Title/Abstract]) AND (""MEK/MAPK""[Title/Abstract] OR ""PI3K-MAPK""[Title/Abstract])",PI3K-alpha;MAPK/ERK;MEK/MAPK;PI3K-MAPK,MAPK;MAPK-family;ERK;resistance;bypass-resistance;pathway;inhibitor-treated;whether,,6-200,S07-C001,Focused query derived primarily from subsection prose and citation notes.
SUB007,SUB007-Q002,mechanism_expansion,"(""PI3K-alpha""[Title/Abstract] OR ""MAPK/ERK""[Title/Abstract] OR ""MEK/MAPK""[Title/Abstract]) AND (resistance[Title/Abstract] OR ""bypass-resistance""[Title/Abstract] OR bypass[Title/Abstract]) AND (""PI3K-MAPK""[Title/Abstract] OR MAPK[Title/Abstract] OR ""MAPK-family""[Title/Abstract])",PI3K-alpha;MAPK/ERK,resistance;bypass-resistance;bypass,,6-200,S07-C001,Mechanism-focused expansion derived from subsection content.
SUB007,SUB007-Q003,context_expansion,"Combination[Title/Abstract] AND (""PI3K-alpha""[Title/Abstract] OR ""MAPK/ERK""[Title/Abstract] OR ""MEK/MAPK""[Title/Abstract]) AND (resistance[Title/Abstract] OR ""bypass-resistance""[Title/Abstract])",PI3K-alpha;MAPK/ERK;MEK/MAPK,PI3K-MAPK;MAPK;MAPK-family;ERK;resistance,,6-200,S07-C001,Context or assay expansion derived from subsection prose.
SUB007,SUB007-Q004,recall_guard,37916958[PMID],,,,1-20,S07-C001,Recover known draft citations and citation anchors.
SUB008,SUB008-Q001,high_precision,"(""PI3K-alpha""[Title/Abstract] OR ""HER2/ERBB""[Title/Abstract]) AND (PI3K[Title/Abstract] OR ""ERBB/EGFR""[Title/Abstract] OR CD36[Title/Abstract])",PI3K-alpha;HER2/ERBB;PI3K;ERBB/EGFR,CD36;HER2;HER2-altered;HER2-context/metabolism;HER2-directed;HER2-driven;HER2-positive;anti-HER2,,6-200,S08-C004,Focused query derived primarily from subsection prose and citation notes.
SUB008,SUB008-Q002,mechanism_expansion,"(""PI3K-alpha""[Title/Abstract] OR ""HER2/ERBB""[Title/Abstract] OR PI3K[Title/Abstract]) AND (resistance[Title/Abstract] OR inhibition[Title/Abstract]) AND (""ERBB/EGFR""[Title/Abstract] OR CD36[Title/Abstract] OR HER2[Title/Abstract])",PI3K-alpha;HER2/ERBB,resistance;inhibition;PTEN-loss,,6-200,S08-C004,Mechanism-focused expansion derived from subsection content.
SUB008,SUB008-Q003,context_expansion,"combination[Title/Abstract] AND (""PI3K-alpha""[Title/Abstract] OR ""HER2/ERBB""[Title/Abstract] OR PI3K[Title/Abstract]) AND (resistance[Title/Abstract] OR inhibition[Title/Abstract])",PI3K-alpha;HER2/ERBB;PI3K,ERBB/EGFR;CD36;HER2;HER2-altered;HER2-context/metabolism,,6-200,S08-C004,Context or assay expansion derived from subsection prose.
SUB008,SUB008-Q004,recall_guard,39920872[PMID],,,,1-20,S08-C004,Recover known draft citations and citation anchors.
SUB009,SUB009-Q001,high_precision,"(""PI3K-alpha""[Title/Abstract] OR ""post-CDK4/6""[Title/Abstract]) AND (resistance[Title/Abstract] OR inhibition[Title/Abstract] OR ""endocrine-resistance""[Title/Abstract]) AND (""SOLAR-1""[Title/Abstract] OR ESR1[Title/Abstract])",PI3K-alpha;post-CDK4/6;SOLAR-1;ESR1,resistance;endocrine;inhibition;endocrine-resistance;HR-positive;biomarker-stratified;combination;endocrine-resistant,,6-200,S09-C001;S09-C002;S09-C003,Focused query derived primarily from subsection prose and citation notes.
SUB009,SUB009-Q002,mechanism_expansion,"(""PI3K-alpha""[Title/Abstract] OR ""post-CDK4/6""[Title/Abstract] OR ""SOLAR-1""[Title/Abstract]) AND (resistance[Title/Abstract] OR inhibition[Title/Abstract] OR ""endocrine-resistance""[Title/Abstract]) AND (ESR1[Title/Abstract] OR endocrine[Title/Abstract] OR ""HR-positive""[Title/Abstract])",PI3K-alpha;post-CDK4/6,resistance;inhibition;endocrine-resistance,,6-200,S09-C001;S09-C002;S09-C003,Mechanism-focused expansion derived from subsection content.
SUB009,SUB009-Q003,context_expansion,"(combination[Title/Abstract] OR therapy[Title/Abstract]) AND (""PI3K-alpha""[Title/Abstract] OR ""post-CDK4/6""[Title/Abstract] OR ""SOLAR-1""[Title/Abstract]) AND (resistance[Title/Abstract] OR inhibition[Title/Abstract])",PI3K-alpha;post-CDK4/6;SOLAR-1,ESR1;resistance;endocrine;inhibition;endocrine-resistance,,6-200,S09-C001;S09-C002;S09-C003,Context or assay expansion derived from subsection prose.
SUB009,SUB009-Q004,recall_guard,31091374[PMID] OR 39637900[PMID] OR 40845250[PMID],,,,1-20,S09-C001;S09-C002;S09-C003,Recover known draft citations and citation anchors.
SUB010,SUB010-Q001,high_precision,"(PIK3CA[Title/Abstract] OR PI3K[Title/Abstract] OR alpelisib[Title/Abstract] OR BYL719[Title/Abstract]) AND (resistance[Title/Abstract] OR resistant[Title/Abstract] OR progression[Title/Abstract]) AND (heterogeneity[Title/Abstract] OR clonal[Title/Abstract] OR subclonal[Title/Abstract])",PIK3CA;PI3K;resistance;heterogeneity,alpelisib;BYL719;progression;clonal;subclonal,,6-200,S10-C001,Controller-broadened query for PI3K-pathway resistance with heterogeneity or clonal-selection evidence.
SUB010,SUB010-Q002,mechanism_expansion,"(PIK3CA[Title/Abstract] OR ""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR alpelisib[Title/Abstract] OR inavolisib[Title/Abstract]) AND (""acquired resistance""[Title/Abstract] OR progression[Title/Abstract] OR resistant[Title/Abstract]) AND (ctDNA[Title/Abstract] OR ""circulating tumor DNA""[Title/Abstract] OR serial[Title/Abstract] OR longitudinal[Title/Abstract])",PIK3CA;PI3K alpha;acquired resistance,alpelisib;inavolisib;ctDNA;circulating tumor DNA;serial;longitudinal,,6-200,S10-C001,Controller-broadened query for temporal acquired-resistance evidence from serial or ctDNA sampling.
SUB010,SUB010-Q003,context_expansion,"(PIK3CA[Title/Abstract] OR PI3K[Title/Abstract] OR alpelisib[Title/Abstract]) AND (""tumor heterogeneity""[Title/Abstract] OR ""clonal evolution""[Title/Abstract] OR ""tumour heterogeneity""[Title/Abstract]) AND (therapy[Title/Abstract] OR treatment[Title/Abstract] OR inhibitor[Title/Abstract])",PIK3CA;PI3K;tumor heterogeneity;clonal evolution,alpelisib;therapy;treatment;inhibitor,,6-200,S10-C001,Controller-broadened context query for heterogeneity and clonal evolution under targeted inhibition.
SUB010,SUB010-Q004,recall_guard,37916958[PMID],,,,1-20,S10-C001,Recover known draft citations and citation anchors.
SUB011,SUB011-Q001,high_precision,"(""PI3K-alpha""[Title/Abstract] OR ""Single-cell""[Title/Abstract]) AND (resistance[Title/Abstract] OR adaptation[Title/Abstract] OR plasticity[Title/Abstract]) AND (""functional-state""[Title/Abstract] OR lineage[Title/Abstract])",PI3K-alpha;resistance;adaptation;plasticity,Single-cell;functional-state;lineage;non-genetic;state;stress-response;targeted-therapy;inhibitor,,6-200,,Focused query derived primarily from subsection prose and citation notes.
SUB011,SUB011-Q002,mechanism_expansion,"(""PI3K-alpha""[Title/Abstract] OR ""Single-cell""[Title/Abstract] OR ""functional-state""[Title/Abstract]) AND (resistance[Title/Abstract] OR adaptation[Title/Abstract] OR plasticity[Title/Abstract]) AND (lineage[Title/Abstract] OR ""non-genetic""[Title/Abstract] OR state[Title/Abstract])",PI3K-alpha;Single-cell,resistance,,6-200,,Mechanism-focused expansion derived from subsection content.
SUB011,SUB011-Q003,context_expansion,"combination[Title/Abstract] AND (""PI3K-alpha""[Title/Abstract] OR ""Single-cell""[Title/Abstract] OR ""functional-state""[Title/Abstract]) AND (resistance[Title/Abstract] OR adaptation[Title/Abstract])",PI3K-alpha;resistance;adaptation,plasticity;Single-cell;functional-state;lineage;non-genetic,,6-200,,Context or assay expansion derived from subsection prose.
SUB011,SUB011-Q004,recall_guard,"(""PI3K-alpha""[Title/Abstract] OR ""Single-cell""[Title/Abstract] OR ""functional-state""[Title/Abstract]) AND (resistance[Title/Abstract] OR adaptation[Title/Abstract] OR plasticity[Title/Abstract]) AND (lineage[Title/Abstract] OR ""non-genetic""[Title/Abstract] OR state[Title/Abstract])",,,,1-20,,Recover known draft citations and citation anchors.
SUB012,SUB012-Q001,high_precision,"(""PI3K-alpha""[Title/Abstract] OR CD36[Title/Abstract]) AND (resistance[Title/Abstract] OR ""PTEN-loss""[Title/Abstract] OR adaptation[Title/Abstract]) AND (PI3K[Title/Abstract] OR ""PI3K-pathway""[Title/Abstract])",PI3K-alpha;CD36;PI3K;PI3K-pathway,anti-HER2;metabolic/HER2-context;resistance;Metabolic;PTEN-loss;adaptation;inhibition;microenvironment-mediated,,6-200,S12-C001,Focused query derived primarily from subsection prose and citation notes.
SUB012,SUB012-Q002,mechanism_expansion,"(""PI3K-alpha""[Title/Abstract] OR CD36[Title/Abstract] OR PI3K[Title/Abstract]) AND (resistance[Title/Abstract] OR ""PTEN-loss""[Title/Abstract] OR adaptation[Title/Abstract] OR inhibition[Title/Abstract]) AND (""PI3K-pathway""[Title/Abstract] OR ""anti-HER2""[Title/Abstract] OR ""metabolic/HER2-context""[Title/Abstract])",PI3K-alpha;CD36,resistance;PTEN-loss;inhibition;escape,,6-200,S12-C001,Mechanism-focused expansion derived from subsection content.
SUB012,SUB012-Q003,context_expansion,"(""PI3K-alpha""[Title/Abstract] OR CD36[Title/Abstract] OR PI3K[Title/Abstract]) AND (resistance[Title/Abstract] OR ""PTEN-loss""[Title/Abstract]) AND (""PI3K-pathway""[Title/Abstract] OR ""anti-HER2""[Title/Abstract] OR ""metabolic/HER2-context""[Title/Abstract])",PI3K-alpha;CD36;PI3K,PI3K-pathway;anti-HER2;metabolic/HER2-context;resistance;Metabolic,,6-200,S12-C001,Context or assay expansion derived from subsection prose.
SUB012,SUB012-Q004,recall_guard,39920872[PMID],,,,1-20,S12-C001,Recover known draft citations and citation anchors.
SUB013,SUB013-Q001,high_precision,"(""SOLAR-1""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (""mutation-detection""[Title/Abstract] OR inhibition[Title/Abstract]) AND (""CDK4/6""[Title/Abstract] OR ""PIK3CA-mutated""[Title/Abstract])",SOLAR-1;PI3K-alpha;CDK4/6;PIK3CA-mutated,Post-CDK4/6;Durable-Benefit;Long-term;mutation-detection;Andre;inhibition;Positive;positive-trial,,6-200,S13-C001;S13-C002;S13-C003;S13-C004,Focused query derived primarily from subsection prose and citation notes.
SUB013,SUB013-Q002,mechanism_expansion,"(""SOLAR-1""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR ""CDK4/6""[Title/Abstract]) AND (""mutation-detection""[Title/Abstract] OR inhibition[Title/Abstract] OR resistance[Title/Abstract]) AND (""PIK3CA-mutated""[Title/Abstract] OR ""Post-CDK4/6""[Title/Abstract] OR ""Durable-Benefit""[Title/Abstract])",SOLAR-1;PI3K-alpha,mutation-detection;inhibition;resistance,,6-200,S13-C001;S13-C002;S13-C003;S13-C004,Mechanism-focused expansion derived from subsection content.
SUB013,SUB013-Q003,context_expansion,"trials[Title/Abstract] AND (""SOLAR-1""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR ""CDK4/6""[Title/Abstract]) AND (""mutation-detection""[Title/Abstract] OR inhibition[Title/Abstract])",SOLAR-1;PI3K-alpha;CDK4/6,PIK3CA-mutated;Post-CDK4/6;Durable-Benefit;Long-term;mutation-detection,,6-200,S13-C001;S13-C002;S13-C003;S13-C004,Context or assay expansion derived from subsection prose.
SUB013,SUB013-Q004,recall_guard,31091374[PMID] OR 33246021[PMID] OR 39637900[PMID] OR 40454641[PMID],,,,1-20,S13-C001;S13-C002;S13-C003;S13-C004,Recover known draft citations and citation anchors.
SUB014,SUB014-Q001,high_precision,"(PI3K[Title/Abstract] OR ""PI3K-alpha-relevant""[Title/Abstract]) AND resistance[Title/Abstract] AND (SANDPIPER[Title/Abstract] OR Failed[Title/Abstract])",PI3K;PI3K-alpha-relevant;resistance;SANDPIPER,Failed;next-generation;trial;efficacy/tolerability;limited;negative;negative/limited-utility;therapeutic-index,,6-200,S14-C001,Focused query derived primarily from subsection prose and citation notes.
SUB014,SUB014-Q002,mechanism_expansion,"(PI3K[Title/Abstract] OR ""PI3K-alpha-relevant""[Title/Abstract] OR SANDPIPER[Title/Abstract]) AND resistance[Title/Abstract] AND (Failed[Title/Abstract] OR ""next-generation""[Title/Abstract] OR ""efficacy/tolerability""[Title/Abstract])",PI3K;PI3K-alpha-relevant,resistance,,6-200,S14-C001,Mechanism-focused expansion derived from subsection content.
SUB014,SUB014-Q003,context_expansion,"(trial[Title/Abstract] OR trials[Title/Abstract] OR combination[Title/Abstract]) AND (PI3K[Title/Abstract] OR ""PI3K-alpha-relevant""[Title/Abstract] OR SANDPIPER[Title/Abstract]) AND resistance[Title/Abstract]",PI3K;PI3K-alpha-relevant;resistance,SANDPIPER;Failed;next-generation;trial;efficacy/tolerability,,6-200,S14-C001,Context or assay expansion derived from subsection prose.
SUB014,SUB014-Q004,recall_guard,33186740[PMID],,,,1-20,S14-C001,Recover known draft citations and citation anchors.
SUB015,SUB015-Q001,high_precision,"(""HER2-directed""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (resistance[Title/Abstract] OR ""resistance-overcoming""[Title/Abstract]) AND (""CDK4/6""[Title/Abstract] OR INAVO120[Title/Abstract])",HER2-directed;PI3K-alpha;Combination;CDK4/6,INAVO120;resistance;Triple-combination;AKT/mTOR/MAPK-pathway;combinations;date/metadata;resistance-overcoming;trial,,6-200,S15-C001;S15-C002,Focused query derived primarily from subsection prose and citation notes.
SUB015,SUB015-Q002,mechanism_expansion,"(""HER2-directed""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR ""CDK4/6""[Title/Abstract]) AND (resistance[Title/Abstract] OR ""resistance-overcoming""[Title/Abstract]) AND (INAVO120[Title/Abstract] OR ""Triple-combination""[Title/Abstract] OR ""AKT/mTOR/MAPK-pathway""[Title/Abstract])",HER2-directed;PI3K-alpha,resistance;resistance-overcoming;mutation,,6-200,S15-C001;S15-C002,Mechanism-focused expansion derived from subsection content.
SUB015,SUB015-Q003,context_expansion,"(Combination[Title/Abstract] OR trial[Title/Abstract] OR trials[Title/Abstract]) AND (""HER2-directed""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR ""CDK4/6""[Title/Abstract]) AND (resistance[Title/Abstract] OR ""resistance-overcoming""[Title/Abstract])",HER2-directed;PI3K-alpha;Combination,CDK4/6;INAVO120;resistance;Triple-combination;AKT/mTOR/MAPK-pathway,,6-200,S15-C001;S15-C002,Context or assay expansion derived from subsection prose.
SUB015,SUB015-Q004,recall_guard,40845250[PMID] OR 42202490[PMID],,,,1-20,S15-C001;S15-C002,Recover known draft citations and citation anchors.
SUB016,SUB016-Q001,high_precision,"(""RLY-2608""[Title/Abstract] OR ""STX-478""[Title/Abstract]) AND (resistance[Title/Abstract] OR ""resistance-overcoming""[Title/Abstract]) AND (""PI3K-alpha""[Title/Abstract] OR ""Mutant-selective""[Title/Abstract])",RLY-2608;STX-478;PI3K-alpha;Mutant-selective,PIK3CA;resistance;PIK3CA-mutant;resistance-overcoming;proof-of-concept;next-generation;PubMed-indexed;allosteric,,6-200,S16-C001;S16-C002;S16-C003,Focused query derived primarily from subsection prose and citation notes.
SUB016,SUB016-Q002,mechanism_expansion,"(""RLY-2608""[Title/Abstract] OR ""STX-478""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (resistance[Title/Abstract] OR ""resistance-overcoming""[Title/Abstract]) AND (""Mutant-selective""[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""PIK3CA-mutant""[Title/Abstract])",RLY-2608;STX-478,resistance;resistance-overcoming,,6-200,S16-C001;S16-C002;S16-C003,Mechanism-focused expansion derived from subsection content.
SUB016,SUB016-Q003,context_expansion,"(""RLY-2608""[Title/Abstract] OR ""STX-478""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (resistance[Title/Abstract] OR ""resistance-overcoming""[Title/Abstract]) AND (""Mutant-selective""[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""PIK3CA-mutant""[Title/Abstract])",RLY-2608;STX-478;PI3K-alpha,Mutant-selective;PIK3CA;resistance;PIK3CA-mutant;resistance-overcoming,,6-200,S16-C001;S16-C002;S16-C003,Context or assay expansion derived from subsection prose.
SUB016,SUB016-Q004,recall_guard,37916958[PMID] OR 37623743[PMID],,,,1-20,S16-C001;S16-C002;S16-C003,Recover known draft citations and citation anchors.
SUB017,SUB017-Q001,high_precision,"(PIK3CA[Title/Abstract] OR ""SOLAR-1""[Title/Abstract]) AND (Resistance[Title/Abstract] OR acquired[Title/Abstract] OR mutation[Title/Abstract]) AND (""PI3K-alpha""[Title/Abstract] OR selection[Title/Abstract])",PIK3CA;SOLAR-1;PI3K-alpha;Resistance,biomarker;acquired;selection;alpelisib/inavolisib/taselisib;biomarker-selected;high-quality;mutation;Baseline,,6-200,S17-C001;S17-C002;S17-C003,Focused query derived primarily from subsection prose and citation notes.
SUB017,SUB017-Q002,mechanism_expansion,"(PIK3CA[Title/Abstract] OR ""SOLAR-1""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (Resistance[Title/Abstract] OR acquired[Title/Abstract] OR mutation[Title/Abstract]) AND (selection[Title/Abstract] OR ""alpelisib/inavolisib/taselisib""[Title/Abstract] OR ""biomarker-selected""[Title/Abstract])",PIK3CA;SOLAR-1,Resistance;acquired;mutation;inhibition,,6-200,S17-C001;S17-C002;S17-C003,Mechanism-focused expansion derived from subsection content.
