subsection_id,query_id,iteration,run_status,result_count,count_status,controller_action,next_query_id,notes
SUB012,SUB012-Q003,1,run,951,too_many,refine_query,controller_to_assign,Query returned 951 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB012,SUB012-Q004,1,run,1,too_few,broaden_query,controller_to_assign,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB013,SUB013-Q001,1,run,5,too_few,broaden_query,controller_to_assign,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB013,SUB013-Q002,1,run,35,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging.
SUB013,SUB013-Q003,1,run,216,too_many,refine_query,controller_to_assign,Query returned 216 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB013,SUB013-Q004,1,run,4,too_few,broaden_query,controller_to_assign,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB014,SUB014-Q001,1,run,172,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging.
SUB014,SUB014-Q002,1,run,423,too_many,refine_query,controller_to_assign,Query returned 423 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB014,SUB014-Q003,1,run,3257,too_many,refine_query,controller_to_assign,Query returned 3257 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB014,SUB014-Q004,1,run,1,too_few,broaden_query,controller_to_assign,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB015,SUB015-Q001,1,run,11,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging.
SUB015,SUB015-Q002,1,run,13,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging.
SUB015,SUB015-Q003,1,run,895,too_many,refine_query,controller_to_assign,Query returned 895 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB015,SUB015-Q004,1,run,2,too_few,broaden_query,controller_to_assign,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB016,SUB016-Q001,1,run,2,too_few,broaden_query,controller_to_assign,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB016,SUB016-Q002,1,run,17,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging.
SUB016,SUB016-Q003,1,run,17,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging.
SUB016,SUB016-Q004,1,run,2,too_few,broaden_query,controller_to_assign,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB017,SUB017-Q001,1,run,280,too_many,refine_query,controller_to_assign,Query returned 280 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB017,SUB017-Q002,1,run,264,too_many,refine_query,controller_to_assign,Query returned 264 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB017,SUB017-Q003,1,run,183,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging.
SUB017,SUB017-Q004,1,run,3,too_few,broaden_query,controller_to_assign,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB018,SUB018-Q001,1,run,0,too_few,broaden_query,controller_to_assign,No PubMed records returned; controller should broaden terms or use manual lookup.
SUB018,SUB018-Q002,1,run,17,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging.
SUB018,SUB018-Q003,1,run,17,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging.
SUB018,SUB018-Q004,1,run,3,too_few,broaden_query,controller_to_assign,Sparse result count; controller should broaden unless known draft anchors are recovered.
