paper_id,pmid,pmcid,doi,title,source_format,raw_chars,narrative_chars,retention_ratio,kept_section_count,excluded_section_count,excluded_char_count,chunk_count,warning_flags,review_recommendation,kept_section_titles,excluded_section_titles
pmid-35968355,35968355,PMC9360227,,PI3K inhibitors in trastuzumab-resistant HER2-positive breast cancer cells with PI3K pathway alterations.,pdf,36561,18811,0.515,6,10,14417,28,,pass,"Abstract; Introduction; Cell lines, cell culture, and reagents; By suppressing the PI3K downstream signaling pathway, combination treatment with PI3K inhibitors and trastuzumab induces marked apoptosis in resistant breast cancer cells; The treatment of alpelisib plus trastuzumab inhibits the growth of tumor xenografts bearing PIK3CA mutations; Discussion",Western blot analysis [methods_heading]; Colony formation assay [inside_methods_block]; In vitro antiproliferation activity analysis [inside_methods_block]; In vitro apoptosis analysis [inside_methods_block]; Combination index (CI) [inside_methods_block]; Small interfering RNA (siRNA) knockdown of PTEN (siPTEN) [inside_methods_block]; Caspase 3 and 7 activity [inside_methods_block]; Orthotopic xenograft mouse model and in situ TUNEL assays [inside_methods_block]; Statistical analysis [methods_heading]; Effects of PI3K inhibitors in HER2-positive trastuzumab-resistant breast cancer cells [inside_methods_block]
pmid-37916958,37916958,PMC10850944,10.1158/2159-8290.CD-23-0704,Allosteric PI3Kα Inhibition Overcomes On-target Resistance to Orthosteric Inhibitors Mediated by Secondary PIK3CA Mutations.,pmc_xml,44896,23168,0.516,7,12,13310,38,,pass,"Abstract; Introduction; Acquired Resistance Alterations in Serial ctDNA from Patients Treated with Alpelisib and Inavolisib; Landscape of Acquired PI3K Alterations in Rapid Autopsy Tissue Series; De Novo Mutations in the PI3K/AKT Pathway Emerge during Treatment and Lead to Acquired Resistance; Mutations in PIK3CA Involving Trp780 or Gln859 Impair the Activity of ATP-Competitive, Alpha-Selective PI3K Inhibitors; Discussion",Patients [after_discussion_end_matter_guard]; cfDNA Analysis [after_discussion_end_matter_guard]; Autopsy [after_discussion_end_matter_guard]; WES Pipeline for Autopsy [after_discussion_end_matter_guard]; Phylogenetic Analysis of Multiple Samples from the Same Patient [after_discussion_end_matter_guard]; Free Energy Calculations [after_discussion_end_matter_guard]; Cell Culture and General Reagents [methods_heading]; Dose-Response Experiments [after_discussion_end_matter_guard]; Western Blot Analysis [methods_heading]; Cell-Free DNA Extraction and ddPCR [inside_methods_block]; Surface Plasmon Resonance Binding Assay [inside_methods_block]; Data Availability [end_matter_or_non_narrative_heading]
pmid-38273040,38273040,PMC10810864,10.1038/s41698-024-00496-y,Integrative modeling uncovers p21-driven drug resistance and prioritizes therapies for PIK3CA-mutant breast cancer.,pmc_xml,88326,47554,0.538,9,45,40053,80,,pass,Abstract; Introduction; Integrated computational models capture signal dynamics of PI3K network; Computational modeling prioritizes synergism between drug combinations; Selection of high p21 levels promotes resistance to PI3Kα inhibition; Evasion of cellular senescence overcomes the anti-proliferative effect of BYL719; Genomic instability is a vulnerability of BYL719-resistant breast cancer cells; Extending the applicability of experimental and in silico models; Discussion,Computational modeling [after_discussion_end_matter_guard]; Mathematical model description and assumptions [after_discussion_end_matter_guard]; Upstream receptor tyrosine kinases (RTKs) [after_discussion_end_matter_guard]; Cell cycle machinery [after_discussion_end_matter_guard]; Major feedback loops and crosstalk mechanisms [after_discussion_end_matter_guard]; Rb-mediated feedback to mTORC2/AKT [after_discussion_end_matter_guard]; Cyclin D1-CDK4/6 mediated feedback loop [after_discussion_end_matter_guard]; S6K-mediated negative feedback loop [after_discussion_end_matter_guard]; GAB-mediated feedback loop [after_discussion_end_matter_guard]; P-Rex1-mediated feedback loop [after_discussion_end_matter_guard]; ERK-mediated feedback loops [after_discussion_end_matter_guard]; FOXO3-mediated feedback loop [after_discussion_end_matter_guard]; ER-mediated feedback loops [after_discussion_end_matter_guard]; NDRG1-mediated feedback loop [after_discussion_end_matter_guard]; Other crosstalk mechanisms [after_discussion_end_matter_guard]; Model implementation [after_discussion_end_matter_guard]; Model calibration and generation of “parental PI3K model” [after_discussion_end_matter_guard]; Model calibration for T47D parental cells [after_discussion_end_matter_guard]; Genetic algorithm specification [after_discussion_end_matter_guard]; Calibration implementation [after_discussion_end_matter_guard]; Ensemble simulation to mitigate issues with model unidentifiability [after_discussion_end_matter_guard]; Generation of “resistant PI3K model” [after_discussion_end_matter_guard]; Construction of the phenotypic model [after_discussion_end_matter_guard]; Establishment of cell lines resistant to targeted therapies [methods_heading]; CDKN1A and Tp53 knock-down via CRISPR/Cas9 [inside_methods_block]; Cell growth assays [inside_methods_block]; Protein lysates and immunoblotting [inside_methods_block]; D cell growth assay [inside_methods_block]; Culture of T47D cells and cell lysis [inside_methods_block]; Protein precipitation and digestion [inside_methods_block]; Samples’ clean-up and phosphopeptide enrichment [inside_methods_block]; Data-dependent acquisition (DDA) LC-MS/MS [inside_methods_block]; Protein identification and quantification [inside_methods_block]; Data analysis [inside_methods_block]; Cell cycle analysis [inside_methods_block]; Quantitative reverse-transcription PCR [inside_methods_block]; β-galactosidase cell senescence assay [inside_methods_block]; γH2AX and 53BP1 staining [inside_methods_block]; Cell death assay [inside_methods_block]; p21 cellular localization [inside_methods_block]; CellTiter-Glo assay [inside_methods_block]; Simulation of drugs combinations and drugs synergy [inside_methods_block]; Patient survival analysis [inside_methods_block]; Reporting summary [end_matter_or_non_narrative_heading]; Supplementary information [end_matter_or_non_narrative_heading]
pmid-24405121,24405121,,10.1111/bjh.12734,"PI3KCA plays a major role in multiple myeloma and its inhibition with BYL719 decreases proliferation, synergizes with other therapies and overcomes stroma-induced resistance.",pdf,36476,19949,0.547,7,11,10220,32,,pass,Abstract; Introduction; PI3KCA isoform plays a major role in MM Progression and BYL719 inhibits MM proliferation; BYL719 induces Apoptosis in MM cells; BYL719 synergizes with proteasome inhibitors; BYL719 inhibits adhesion to BM stroma and overcomes drug resistance to proteasome inhibitors induced by stroma; Discussion,Reagents [methods_heading]; Cells [inside_methods_block]; Gene expression analysis [inside_methods_block]; Cell viability assay [inside_methods_block]; Synergism calculation [inside_methods_block]; Apoptosis assay [inside_methods_block]; Cell cycle analysis [inside_methods_block]; Western blotting [inside_methods_block]; Adhesion of MM cells to BMSCs [inside_methods_block]; In silico simulation of biological effect [inside_methods_block]; Creation of cell line models [inside_methods_block]
pmid-32887722,32887722,,10.1158/1078-0432.CCR-20-0645,Phase Ib Study of Ribociclib plus Fulvestrant and Ribociclib plus Fulvestrant plus PI3K Inhibitor (Alpelisib or Buparlisib) for HR+ Advanced Breast Cancer.,pdf,46549,25697,0.552,15,7,12361,43,,pass,Abstract; Introduction; Double treatment arms; Triple-treatment arms; Study assessments Safety; Pharmacokinetics; Efficacy; Biomarkers; Patient disposition and characteristics; RP2D/MTD; AEs; Pharmacokinetics; Efficacy; Biomarkers; Discussion,Study design [methods_heading]; Translational Relevance [inside_methods_block]; Patient population [inside_methods_block]; Study oversight [inside_methods_block]; Dose and regimen selections [inside_methods_block]; Dose escalations [protocol_or_procedural_section]; Authors' Disclosures [after_discussion_end_matter_guard]
pmid-32976773,32976773,PMC7562820,10.1016/j.ccell.2020.08.016,Metabolic Imaging Detects Resistance to PI3Kα Inhibition Mediated by Persistent FOXM1 Expression in ER+ Breast Cancer.,pmc_xml,83522,46129,0.552,10,31,37077,87,,pass,"Abstract; Introduction; Early Responses to a PI3Kα Inhibitor Can Be Detected Using Metabolic Imaging With Hyperpolarized [1-13C]Pyruvate; Imaging With Hyperpolarized [1-13C]Pyruvate Can Detect Induced Resistance to PI3Kα Inhibition; Combination Treatments That Overcome Resistance to PI3Kα-Specific Inhibition Resulted in Decreased LDHA Protein Expression and Enzyme Activity; Effective PI3Kα Inhibition Lowered Tumor FOXM1, Whereas Acquisition of Resistance Resulted in Persistent FOXM1 and LDHA Expression; FOXM1 as a Biomarker of Resistance to PI3Kα Inhibitors Can Be Explained by PI3K Signaling-Dependent Phosphorylation of FOXO3a; FOXM1 Overexpression Confers Drug Resistance; Clinical Studies; Discussion","Key Resources Table [end_matter_or_non_narrative_heading]; Lead Contact [after_discussion_end_matter_guard]; Materials Availability [methods_heading]; Data and Code Availability [end_matter_or_non_narrative_heading]; Cell Lines [methods_heading]; Patient-Derived Tumor Cells (PDTCs), Disaggregated Cells from T47DR Tumors and PDXs [inside_methods_block]; Animals [inside_methods_block]; FFPE Clinical Samples [inside_methods_block]; PTEN KD [inside_methods_block]; PTEN KO [inside_methods_block]; LDHA-KD, FOXM1-KD and FOXM1C-mStrawberry [inside_methods_block]; Xenografts [inside_methods_block]; C Magnetic Resonance Spectroscopy [inside_methods_block]; [18F]FDG PET/CT [inside_methods_block]; RNA Extraction for RT–qPCR and RNA-seq [methods_heading]; Western Blots [inside_methods_block]; Immunofluorescence [methods_heading]; Cell Viability Assays [inside_methods_block]; Flow Cytometric Measurements of mStrawberry Fluorescence [inside_methods_block]; [18F]FDG Uptake [inside_methods_block]; LDH Activity [inside_methods_block]; Lactate Measurements [inside_methods_block]; Measurements of Glycolytic Flux [inside_methods_block]; FOXM1 CHIP [inside_methods_block]; Flow Cytometry Analysis of Human and Mouse Cells in PDTC Cultures [inside_methods_block]; Immunohistochemistry of Prelinical and Clinical Samples [methods_heading]; FISH Analysis of HCI-001 and HCI011 PDX FFPE Tumor Sections [inside_methods_block]; MSKCC Patient RNAseq Data Re-analysis [inside_methods_block]; METABRIC Follow-Up Data Re-analysis [inside_methods_block]; Quantification and Statistical Analysis [inside_methods_block]; Survival Analyses [inside_methods_block]"
pmid-37623743,37623743,PMC10618743,10.1158/2159-8290.CD-23-0396,"STX-478, a Mutant-Selective, Allosteric PI3Kα Inhibitor Spares Metabolic Dysfunction and Improves Therapeutic Response in PI3Kα-Mutant Xenografts.",pmc_xml,64323,36034,0.560,9,13,13499,55,,pass,"Abstract; Introduction; STX-478, a Mutant-Selective, Allosteric PI3Kα Inhibitor; STX-478 Selectively Targets PI3Kα Activity and Cell Viability in PI3Kα-Mutant Cells; STX-478 Treatment Yields Robust Antitumor Efficacy in PI3Kα-Mutant Tumors without Metabolic Dysregulation in Mice; Benchmarking STX-478 in the CAL-33 (H1047R PI3Kα) Human HNSCC Xenograft Model; STX-478 Is Efficacious across a Panel of PI3Kα-Mutant Cell-Derived Xenograft and Patient-Derived Xenograft Tumors without Evidence of Insulin Resistance; Safety and Efficacy of Clinically Relevant Combination Therapies; Discussion","STX-478 Synthesis and Alpelisib [after_discussion_end_matter_guard]; Protein Expression and Purification [after_discussion_end_matter_guard]; Crystallization, Data Collection, and Processing [after_discussion_end_matter_guard]; Structure Solution and Refinement [after_discussion_end_matter_guard]; SPR [after_discussion_end_matter_guard]; PI3Kα ATPase Assay [after_discussion_end_matter_guard]; Kinome Selectivity Profiling [after_discussion_end_matter_guard]; Cellular Assays [after_discussion_end_matter_guard]; pAKT Homogenous Time-Resolve Fluorescence [after_discussion_end_matter_guard]; Cell Proliferation [after_discussion_end_matter_guard]; Human Adipocyte 3H-2-Deoxyglucose Uptake [after_discussion_end_matter_guard]; Animal Studies [methods_heading]; Data Availability [end_matter_or_non_narrative_heading]"
pmid-30167089,30167089,PMC6114962,10.18632/oncotarget.25854,"A Phase Ib, open-label, dose-finding study of alpelisib in combination with paclitaxel in patients with advanced solid tumors.",pmc_xml,23527,13775,0.585,8,7,5990,23,,pass,Abstract; Introduction; Patient characteristics and disposition; Dose finding and dose-limiting toxicities; Safety and tolerability; Pharmacokinetics; Clinical activity; Discussion,Study design [methods_heading]; Patient population [inside_methods_block]; Protocol amendments [inside_methods_block]; Treatment [after_discussion_end_matter_guard]; Assessments [inside_methods_block]; Analysis sets [inside_methods_block]; Statistical analyses [inside_methods_block]
pmid-31091374,31091374,,10.1056/NEJMoa1813904,"Alpelisib for PIK3CA-Mutated, Hormone Receptor-Positive Advanced Breast Cancer.",pdf,36159,21202,0.586,7,6,7726,34,,pass,Abstract; Patients; Characteristics of the Patients; Treatment in the Cohort with PIK3CA-Mutated Cancer; Efficacy of Alpelisib-Fulvestrant in the Cohort without PIK3CA-Mutated Cancer; Safety; Discussion,METHODS [methods_heading]; Trial Design [inside_methods_block]; End Points [methods_heading]; Assessments [inside_methods_block]; Trial Oversight [inside_methods_block]; Statistical Analysis [methods_heading]
pmid-29850984,29850984,,10.1007/s10549-018-4792-0,Phase I study of alpelisib (BYL-719) and trastuzumab emtansine (T-DM1) in HER2-positive metastatic breast cancer (MBC) after trastuzumab and taxane therapy.,pdf,27696,16592,0.599,7,8,8474,26,,pass,Abstract; Introduction; Patient population; Safety and efficacy assessments; Clinical activity; PI3K pathway aberrations; Discussion,Study design [methods_heading]; Statistical analysis [methods_heading]; Correlative studies [inside_methods_block]; Study population [methods_heading]; DLT and MTD [inside_methods_block]; Adverse events (AE) [inside_methods_block]; Management of serious adverse events [inside_methods_block]; Tolerability [inside_methods_block]
pmid-24608574,24608574,,10.1158/1535-7163.MCT-13-0865,Characterization of the novel and specific PI3Kα inhibitor NVP-BYL719 and development of the patient stratification strategy for clinical trials.,pdf,44684,26958,0.603,11,7,12713,48,,pass,Abstract; Introduction; Chemical entities; Antibodies; NVP-BYL719 potently and selectively inhibits PI3Ka in vitro; NVP-BYL719 shows robust PK/PD/Efficacy relationship in PI3Ka-driven tumors; NVP-BYL719 shows an improved safety profile compared with pan-class I inhibition; PIK3CA mutation is a positive predictor and is ranked first mutated feature associated with NVP-BYL719 sensitivity; PIK3CA amplification and PTEN mutation also modulate response to NVP-BYL719; PIK3CA mutant cell lines are selectively sensitive to NVP-BYL719; Discussion,Cell lines and in vitro compound profiling [methods_heading]; High-throughput pharmacologic cell line profiling [inside_methods_block]; In vivo studies in mice and rats [inside_methods_block]; Automated calls of NVP-BYL719 sensitivity [inside_methods_block]; Genetic and genomic characterization of cell lines [inside_methods_block]; NVP-BYL719 compound differential selectivity analysis [inside_methods_block]; NPV (%) 69 [after_discussion_end_matter_guard]
pmid-37101291,37101291,PMC10131374,10.1186/s13073-023-01181-8,"Multiple PIK3CA mutation clonality correlates with outcomes in taselisib + fulvestrant-treated ER+/HER2-, PIK3CA-mutated breast cancers.",pmc_xml,38996,23538,0.604,10,6,16565,33,,pass,Abstract; Introduction; SANDPIPER clinical trial; Plasma ctDNA collection and comprehensive genomic profiling (CGP); Independent breast cancer dataset; PIK3CAmut clonality estimation; Signaling pathway cluster analysis; Analysis of patient response to PI3K inhibition; Discussion; Discussion,Statistical analyses and software [protocol_or_procedural_section]; Clonality estimation of multiple PIK3CAmut in ctDNA [inside_methods_block]; Clonal multiple PIK3CAmut exhibit fewer RTK co-alterations [inside_methods_block]; Independent dataset analysis of clonal PIK3CAmut findings [inside_methods_block]; Clonal multiple PIK3CAmut associate with improved clinical outcomes [inside_methods_block]; Untitled [after_discussion_end_matter_guard]
